Unnamed: 0.1	Original Row	CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs	Level_of_similarity	Level_of_confidence	User Choice	Percent Common Papers	Name Relations	Concept Relation	ID Relation	Num Relations	Num Atoms
55	8977	C0265281	C1868616	Metatropic dwarfism	Parastremmatic dwarfism	43	8	2				25	1	0	1	1	8
56	518	C0033804	C3550478	Pseudohermaphroditism	HYPOGONADOTROPIC HYPOGONADISM 3 WITH OR WITHOUT ANOSMIA	42724	10033	1319				13	0	0	0	0	3
57	3880	C0041207	C1857586	"Truncus Arteriosus, Persistent"	CONOTRUNCAL HEART MALFORMATIONS	1013	133	25				18	0	1	1	3	7
58	6909	C0349653	C2609069	Congenital disorder of glycosylation type 1A	Enzyme activity decreased	35	108828	5				14	0	0	0	0	22
59	1577	C0002768	C0020074	Congenital Pain Insensitivity	HSAN Type IV	653	2026	194				29	0	3	2	3	25
60	10336	C0271980	C4017529	beta^0^ Thalassemia	HEMOGLOBIN B(2) PHENOTYPE	529	7	1				14	0	0	0	0	1
61	9896	C0162674	C1843851	Chronic progressive external ophthalmoplegia	"Sensory ataxic neuropathy, dysarthria, and ophthalmoparesis"	1371	7	1				14	0	0	0	2	6
62	3199	C0238462	C1833930	Medullary carcinoma of thyroid	"PHEOCHROMOCYTOMA, SOMATIC"	7190	236	40				16	0	0	0	0	3
63	6240	C0013336	C2748571	Dwarfism	"Isolated Growth Hormone Deficiency, Type IB"	17277	24	6				25	0	0	2	0	10
64	1634	C0270612	C0751587	Leukoencephalopathies	CADASIL Syndrome	29481	1227	180				14	0	0	0	4	25
65	6127	C1283400	C4017556	Butyrylcholinesterase deficiency	CHE*539T PHENOTYPE	54	491394	7				12	0	0	0	0	0
66	6397	C1852510	C3266898	Craniofacial deafness hand syndrome	Waardenburg Syndrome	27	1033	6				22	0	3	2	1	9
67	8471	C0339526	C1838647	Autosomal recessive retinitis pigmentosa	RETINITIS PIGMENTOSA 12	1150	10	2				20	2	0	0	0	8
68	6225	C0342579	C2748572	Electrolyte imbalance	SeSAME syndrome	8646	27	6				22	0	0	0	0	21
69	6768	C0750384	C4017431	Coumarin Resistance	CYPA6*2 PHENOTYPE	28	491394	5				17	0	0	1	0	1
70	9329	C2939465	C4016542	Deficiency of glucose-6-phosphate dehydrogenase	G6PD JAPAN PHENOTYPE	5461	12	2				16	0	0	2	0	1
71	6617	C1860406	C2745945	VITREORETINOCHOROIDOPATHY	Juvenile-Onset Vitelliform Macular Dystrophy	35	497	5				14	0	0	0	0	0
72	7351	C0265216	C1839909	X-linked hydrocephalus syndrome	"CORPUS CALLOSUM, PARTIAL AGENESIS OF, X-LINKED"	144	21	4				19	2	0	1	0	3
73	5922	C0011854	C1833104	"Diabetes Mellitus, Insulin-Dependent"	"DIABETES MELLITUS, PERMANENT NEONATAL"	92179	71	8				11	2	0	0	1	22
74	10405	C1721007	C1840427	"Pachyonychia Congenita, Type 2"	"PALMOPLANTAR KERATODERMA, EPIDERMOLYTIC, WITH KNUCKLE PADS"	450	9	1				11	0	0	0	0	4
75	11816	C0079301	C2673612	Junctional Epidermolysis Bullosa	"Epidermolysis Bullosa Dystrophica Inversa, Autosomal Recessive"	786	4	1				25	2	0	0	0	3
76	6620	C0339510	C1860406	Vitelliform Macular Dystrophy	VITREORETINOCHOROIDOPATHY	497	35	5				14	0	0	0	0	0
77	3699	C1275081	C1860991	Cardio-facio-cutaneous syndrome	NOONAN SYNDROME 3	248	584	28				11	0	0	0	1	5
78	2767	C0039743	C0410529	Thanatophoric Dysplasia	Hypochondroplasia	502	271	57				21	0	0	0	0	24
79	1312	C0752166	C3151185	Bardet-Biedl Syndrome	SHORT-RIB THORACIC DYSPLASIA 4 WITH OR WITHOUT POLYDACTYLY	1122	3310	278				24	0	0	0	0	4
80	1222	C0085298	C0949658	Sudden Cardiac Death	"Cardiomyopathy, Hypertrophic, Familial"	31397	1512	316				20	0	0	0	1	24
81	5576	C0029464	C3280402	Osteosclerosis	SCLEROSTEOSIS 2	6048	51	9				17	0	0	0	1	3
82	7131	C0340978	C1834478	May-Hegglin anomaly	MACROTHROMBOCYTOPENIA AND PROGRESSIVE SENSORINEURAL DEAFNESS	281	17	4				23	0	1	2	1	3
83	9380	C0029456	C0268360	Osteoporosis	"Osteogenesis imperfecta, recessive perinatal lethal"	81415	16	2				12	0	0	0	0	17
84	6340	C0079661	C1852510	Klein's Syndrome	Craniofacial deafness hand syndrome	1033	27	6				22	0	0	0	1	9
85	3618	C0085584	C3554067	Encephalopathies	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 11	600000	121	30				24	0	0	0	0	4
86	2126	C0007193	C0574083	"Cardiomyopathy, Dilated"	3-Methylglutaconic aciduria type 2	21868	656	106				16	0	0	0	1	24
87	5869	C0346429	C2675080	Multiple malignancy	Li-Fraumeni-Like Syndrome	215327	54	8				14	0	0	0	0	4
88	6242	C0265202	C1868684	Seckel syndrome	"EAR, PATELLA, SHORT STATURE SYNDROME"	230	44	6				13	0	0	0	1	24
89	4915	C0270862	C3553788	Hemiplegic migraine	ALTERNATING HEMIPLEGIA OF CHILDHOOD 2	999	66	13				19	0	0	0	0	4
90	11727	C0002312	C4017449	alpha-Thalassemia	HEMOGLOBIN I (BURLINGTON) PHENOTYPE	7139	8	1				12	0	0	1	0	2
91	2265	C0023264	C0034345	Leigh Disease	Pyruvate Dehydrogenase Complex Deficiency Disease	2270	525	92				17	0	0	0	5	25
92	3588	C0151686	C0265252	Growth retardation	Coffin-Lowry syndrome	35291	226	31				13	0	0	0	0	24
93	1523	C0026705	C0086647	Mucopolysaccharidosis II	Mucopolysaccharidosis Type IIIA	1323	889	209				23	1	3	2	2	25
94	4904	C1321551	C1836635	Shprintzen-Goldberg syndrome	Loeys-Dietz Aortic Aneurysm Syndrome	59	436	13				22	0	0	0	2	13
95	319	C0007193	C0007194	"Cardiomyopathy, Dilated"	Hypertrophic Cardiomyopathy	21868	18881	2498				13	1	3	2	10	25
96	9140	C0268494	C1847132	Oculocutaneous albinism type 1	"ALBINISM, OCULOCUTANEOUS, TYPE I, TEMPERATURE-SENSITIVE"	53	12	2				16	2	0	1	0	6
97	791	C0013575	C0020608	Ectodermal Dysplasia	Hypodontia	5832	4163	711				17	0	0	0	4	24
98	641	C0007959	C1408181	Charcot-Marie-Tooth Disease	Neuropathy (motor and sensory)	4570	5798	937				20	0	0	0	0	5
99	8858	C0027726	C1866075	Nephrotic Syndrome	GLOMERULOPATHY WITH FIBRONECTIN DEPOSITS 2	21763	17	2				11	0	0	0	1	8
100	11156	C0432201	C3668942	Boomerang dysplasia	Atelosteogenesis Type 3	25	4	1				25	0	0	1	0	11
101	7242	C0796176	C1848947	STUVE-WIEDEMANN SYNDROME	COLD-INDUCED SWEATING SYNDROME 1	57	32	4				12	0	0	0	0	5
102	5939	C0035334	C1536451	Retinitis Pigmentosa	Central areolar choroidal sclerosis	10816	50	8				16	0	0	0	3	13
103	651	C1302401	C3272841	Adenoma of large intestine	MUTYH-Associate Polyposis	3679	18037	917				24	0	0	0	0	3
104	3361	C0024796	C0265313	Marfan Syndrome	Weill-Marchesani syndrome	7116	152	36				23	0	3	2	3	24
105	7623	C0241889	C0268113	Family history	Familial juvenile gout	117019	24	3				12	0	0	0	5	20
106	3219	C0268595	C0268635	"Glutaric aciduria, type 1"	Acyl-CoA dehydrogenase deficiency	338	1646	39				11	0	3	2	1	10
107	1382	C0339527	C0854723	Leber Congenital Amaurosis	Retinal Dystrophies	931	9449	250				26	0	0	0	7	25
108	864	C0155626	C1832662	Acute myocardial infarction	"MYOCARDIAL INFARCTION, SUSCEPTIBILITY TO"	89185	2629	607				23	2	0	0	1	11
109	731	C0022735	C3550478	Klinefelter Syndrome	HYPOGONADOTROPIC HYPOGONADISM 3 WITH OR WITHOUT ANOSMIA	4232	10033	790				18	0	0	0	0	3
110	2058	C0024141	C1328840	"Lupus Erythematosus, Systemic"	Autoimmune Lymphoproliferative Syndrome	68503	942	114				12	0	0	0	1	25
111	3450	C0018553	C0345893	"Hamartoma Syndrome, Multiple"	Juvenile polyposis syndrome	1768	217	33				15	0	0	0	1	24
112	9076	C1846357	C3150796	Meckel syndrome type 3	NEPHRONOPHTHISIS 11	8	80	2				25	0	0	1	0	3
113	1758	C0028326	C0587248	Noonan Syndrome	Costello syndrome	2113	665	155				23	0	0	0	0	24
114	9386	C0023264	C1855008	Leigh Disease	Mitochondrial Complex II Deficiency	2270	12	2				16	0	0	0	0	7
115	10592	C2752039	C3463916	"HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 3"	Complement Factor I (C3 inactivator) deficiency	45	5	1				20	0	0	1	0	5
116	4927	C1861864	C2676271	"Cardiomyopathy, Familial Hypertrophic, 2"	"CARDIOMYOPATHY, FAMILIAL RESTRICTIVE, 3"	641	67	13				19	2	3	1	1	6
117	277	C0004352	C3714756	Autistic Disorder	Intellectual Disability	21522	97825	3133				14	0	0	2	2	25
118	7956	C0001125	C1839885	"Acidosis, Lactic"	"Leigh Syndrome, X-Linked"	8355	25	3				12	0	0	0	0	2
119	4439	C0001627	C1860042	Congenital adrenal hyperplasia	Antley-Bixler Syndrome with Disordered Steroidogenesis	7843	74	18				24	0	0	0	0	24
120	1310	C0007115	C0018553	Malignant neoplasm of thyroid	"Hamartoma Syndrome, Multiple"	67377	1768	279				15	0	0	0	2	25
121	9964	C0003119	C1859773	Anophthalmos	"Microphthalmia, Syndromic 3"	1093	7	1				14	0	0	0	0	25
122	4396	C0342384	C4016670	Idiopathic hypogonadotropic hypogonadism	HYPOGONADOTROPIC HYPOGONADISM 6 WITH ANOSMIA	337	111	18				16	2	0	0	0	1
123	3380	C0010273	C3267076	Craniofacial Dysostosis	Familial scaphocephaly syndrome	5697	289	35				12	0	0	0	0	22
124	11583	C0001623	C0268285	Adrenal gland hypofunction	"Adrenal hyperplasia, congenital, type 5"	16254	9	1				11	1	0	0	3	24
125	9489	C0023976	C1865020	Long QT Syndrome	Short QT Syndrome 1	9236	8	2				25	1	0	0	0	4
126	6451	C0013336	C0432230	Dwarfism	Langer Mesomelic Dysplasia Syndrome	17277	32	6				18	0	0	0	0	24
127	2315	C0403440	C1567743	Thin basement membrane disease	"Alport Syndrome, Autosomal Dominant"	358	2106	87				24	0	0	2	1	15
128	5616	C1261473	C2675080	Sarcoma	Li-Fraumeni-Like Syndrome	167461	54	9				16	0	0	0	0	4
129	817	C0017661	C0268743	IGA Glomerulonephritis	"Membranoproliferative Glomerulonephritis, Type II"	7609	3840	669				17	1	0	2	4	25
130	4764	C1856170	C4015778	"ALZHEIMER DISEASE, SUSCEPTIBILITY TO"	ALPHA-2-MACROGLOBULIN POLYMORPHISM	3977	93	14				15	0	0	1	0	1
131	6055	C0001418	C2675080	Adenocarcinoma	Li-Fraumeni-Like Syndrome	392635	54	7				12	0	0	0	0	4
132	2481	C0000768	C0751882	Congenital Abnormality	"Myasthenic Syndromes, Congenital"	591498	621	75				12	0	0	0	1	25
133	2921	C0007194	C3150682	Hypertrophic Cardiomyopathy	LEFT VENTRICULAR NONCOMPACTION 4	18881	318	50				15	0	0	0	0	3
134	6156	C0268595	C4017056	"Glutaric aciduria, type 1"	"ISOVALERIC ACIDEMIA, TYPE I"	338	26	7				26	0	0	0	0	1
135	9545	C0023264	C1839413	Leigh Disease	Pyruvate Dehydrogenase E1 Alpha Deficiency	2270	15	2				13	0	0	0	1	8
136	3819	C0079474	C0268374	Hallopeau-Siemens Disease	Adult junctional epidermolysis bullosa	1183	196	26				13	0	0	0	1	21
137	11344	C0000768	C2931258	Congenital Abnormality	"Amaurosis congenita of Leber, type 1"	591498	5	1				20	0	0	0	1	12
138	1876	C0005129	C4087502	Bernard-Soulier Syndrome	Giant platelet disorder	696	591	133				22	0	0	0	0	11
139	3656	C0162569	C0268323	Hepatoerythropoietic Porphyria	Familial porphyria cutanea tarda	259	197	29				14	1	3	1	1	17
140	7331	C0524528	C2677682	Pervasive Development Disorder	"Rett Syndrome, Zappella Variant"	30510	28	4				14	0	0	0	0	3
141	7201	C0029422	C2677099	Osteochondrodysplasias	CROUZON SYNDROME WITH ACANTHOSIS NIGRICANS	28883	24	4				16	0	0	0	0	11
142	6760	C0339526	C1848634	Autosomal recessive retinitis pigmentosa	"USHER SYNDROME, TYPE IIA"	1150	26	5				19	0	0	0	0	7
143	3780	C0034341	C1136249	Pyruvate Carboxylase Deficiency Disease	"Mental Retardation, X-Linked"	174	14636	27				15	0	0	0	2	24
144	6851	C0339510	C2674009	Vitelliform Macular Dystrophy	"Microcornea, Rod-Cone Dystrophy, Cataract, And Posterior Staphyloma"	497	37	5				13	1	0	2	0	4
145	5776	C0024796	C1861456	Marfan Syndrome	Stiff Skin Syndrome	7116	55	8				14	0	0	1	0	7
146	601	C0031511	C0238462	Pheochromocytoma	Medullary carcinoma of thyroid	21435	7190	1033				14	0	0	0	3	25
147	262	C0011854	C0158981	"Diabetes Mellitus, Insulin-Dependent"	Neonatal diabetes mellitus	92179	12461	3493				28	2	0	0	1	25
148	605	C0024796	C0162872	Marfan Syndrome	"Aortic Aneurysm, Thoracic"	7116	19227	1020				14	0	0	2	9	24
149	8676	C0005684	C2674643	Malignant neoplasm of urinary bladder	"KERATOSIS, SEBORRHEIC, SOMATIC"	59248	15	2				13	0	0	0	0	2
150	3256	C0220989	C1720861	Acquired partial lipodystrophy	"Familial Partial Lipodystrophy, Type 3"	168	329	38				22	2	0	0	0	11
151	6121	C1283400	C4017544	Butyrylcholinesterase deficiency	CHE*70G PHENOTYPE	54	491394	7				12	0	0	0	0	0
152	6229	C0033847	C3276161	Pseudoxanthoma Elasticum	"ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 2"	1837	39	6				15	0	0	1	0	4
153	1233	C0393570	C0751072	Corticobasal degeneration	Frontotemporal Lobar Degeneration	1556	4875	311				19	1	0	0	0	24
154	10547	C0342790	C1829703	Carnitine palmitoyl transferase 2 deficiency	Carnitine palmitoyl transferase 1A deficiency	38	8	1				12	3	0	0	1	22
155	2573	C0027726	C0950121	Nephrotic Syndrome	Denys-Drash Syndrome	21763	294	69				23	0	0	0	1	24
156	1069	C0018965	C1567742	Hematuria	"Alport Syndrome, X-Linked"	24388	2064	393				19	0	0	2	3	22
157	4550	C0020640	C0272317	Inherited Factor II deficiency	Hereditary factor II deficiency disease	1411	80	16				20	2	0	2	0	21
158	7720	C0014544	C3554078	Epilepsy	BRANCHED-CHAIN KETO ACID DEHYDROGENASE KINASE DEFICIENCY	140074	27	3				11	0	0	0	0	4
159	6989	C0268358	C0268363	"Osteogenesis imperfecta, dominant perinatal lethal"	Osteogenesis imperfecta type IV	22	369	4				18	2	3	1	1	24
160	2683	C0035334	C0271093	Retinitis Pigmentosa	Stargardt's disease	10816	268	62				23	0	0	0	1	25
161	4072	C0000768	C0432217	Congenital Abnormality	Wolcott-Rallison syndrome	591498	91	22				24	0	0	0	0	25
162	6715	C1449563	C1832370	"Cardiomyopathy, Familial Idiopathic"	"MYOPATHY, MYOFIBRILLAR, DESMIN-RELATED"	21940	23	5				21	0	0	0	2	23
163	4918	C1321551	C3553943	Shprintzen-Goldberg syndrome	"T-CELL IMMUNODEFICIENCY, RECURRENT INFECTIONS, AND AUTOIMMUNITY WITH OR WITHOUT CARDIAC MALFORMATIONS"	59	168719	13				22	0	0	0	0	4
164	1409	C0017551	C0268306	Gilbert Disease	Unconjugated hyperbilirubinemia	4873	1081	239				22	0	0	0	0	25
165	36	C0011860	C0021655	"Diabetes Mellitus, Non-Insulin-Dependent"	Insulin Resistance	142114	113459	24543				21	1	3	2	8	24
166	3090	C0410190	C1720860	Autosomal Dominant Emery-Dreifuss Muscular Dystrophy	"Familial Partial Lipodystrophy, Type 2"	719	329	43				13	0	0	1	2	24
167	917	C0007194	C0007196	Hypertrophic Cardiomyopathy	Restrictive cardiomyopathy	18881	1984	539				27	1	3	2	8	25
168	3284	C0149841	C3489789	Benign recurrent intrahepatic cholestasis	"Cholestasis, Progressive Familial Intrahepatic, 2"	242	302	38				15	2	0	0	1	5
169	5352	C0342776	C1838979	Nicotinamide adenine dinucleotide coenzyme Q reductase deficiency	MITOCHONDRIAL COMPLEX I DEFICIENCY	77	135	10				12	0	0	0	0	11
170	764	C0029925	C3469523	Ovarian Carcinoma	"OVARIAN CANCER, SUSCEPTIBILITY TO"	34444	4371	742				16	1	0	0	1	3
171	772	C0006142	C3469524	Malignant neoplasm of breast	"PROSTATE CANCER, SUSCEPTIBILITY TO"	309961	3698	738				19	0	0	0	0	7
172	11303	C0033300	C1837756	Progeria	MANDIBULOACRAL DYSPLASIA WITH TYPE B LIPODYSTROPHY	1917	5	1				20	0	0	2	0	6
173	3609	C0014544	C1720416	Epilepsy	Episodic ataxia type 2	140074	235	30				12	0	0	0	1	25
174	6039	C3150933	C3838758	"HYPERALDOSTERONISM, FAMILIAL, TYPE III"	Familial hyperaldosteronism type 3	32	48	7				21	2	0	0	0	5
175	6670	C1865643	C3550019	"Cholestasis, progressive familial intrahepatic 3"	"CHOLESTASIS, INTRAHEPATIC, OF PREGNANCY, 3"	36	381	5				13	3	0	1	0	2
176	861	C0019562	C0030421	Von Hippel-Lindau Syndrome	Paraganglioma	4082	23102	612				14	0	0	2	6	25
177	1720	C1836032	C3150354	Immunoglobulin a deficiency 2	"IMMUNODEFICIENCY, COMMON VARIABLE, 2"	1596	1186	162				13	1	0	1	0	5
178	4679	C4016132	C4016275	HYPOGONADOTROPIC HYPOGONADISM 7 WITHOUT ANOSMIA	HYPOGONADOTROPIC HYPOGONADISM 11 WITHOUT ANOSMIA	73	57	15				26	3	0	0	0	1
179	3429	C2674636	C4016293	"GASTROINTESTINAL STROMAL TUMOR, FAMILIAL"	"GASTROINTESTINAL STROMAL TUMOR, SOMATIC"	348	126	34				26	3	0	1	0	2
180	2061	C0019569	C1275808	Hirschsprung Disease	Congenital central hypoventilation	4704	581	113				19	0	0	2	2	24
181	1706	C0015503	C0015523	Factor VII Deficiency	Factor XI Deficiency	1829	1316	165				12	1	0	2	4	25
182	5353	C0342637	C1832615	"Hypocalciuric hypercalcemia, familial, type 1"	"HYPERPARATHYROIDISM, NEONATAL SEVERE"	59	208	10				16	0	0	1	1	14
183	10627	C0007194	C1834481	Hypertrophic Cardiomyopathy	"CARDIOMYOPATHY, DILATED, 1S"	18881	4	1				25	1	0	0	3	4
184	3824	C0008370	C3151147	Cholestasis	"Bile Acid Synthesis Defect, Congenital, 3"	37733	102	26				25	0	0	0	0	5
185	7151	C0010273	C3281247	Craniofacial Dysostosis	BENT BONE DYSPLASIA SYNDROME	5697	34	4				11	0	0	2	0	3
186	6726	C0014474	C1510426	Ependymoma	"choroid plexus carcinoma, childhood"	6230	39	5				12	0	0	0	1	4
187	7253	C1851162	C2674643	"BLADDER CANCER, SOMATIC"	"KERATOSIS, SEBORRHEIC, SOMATIC"	398	15	4				26	0	0	1	0	2
188	4235	C0175699	C1864436	Saethre-Chotzen Syndrome	Muenke Syndrome	1615	72	20				27	0	0	0	0	18
189	3759	C0039445	C0345893	Hereditary hemorrhagic telangiectasia	Juvenile polyposis syndrome	3641	217	27				12	0	0	0	1	24
190	1316	C0006142	C1969537	Malignant neoplasm of breast	"OVARIAN CANCER, SOMATIC"	309961	1306	276				21	0	0	0	0	7
191	10529	C0241889	C4017003	Family history	FH AFRIKANER 2 PHENOTYPE	117019	4	1				25	0	0	0	0	1
