	Unnamed: 0	Unnamed: 0.1	CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs	Group Average	My Input	Target	Name Relations	Paper Relations	Concept Relation	ID Relation	Num Relations	Num Atoms	Context Type
15	15	15	C0010273	C0220658	Craniofacial Dysostosis	Pfeiffer Syndrome	5697	2199	388	8.0	6.0	7	0	17	2	2	4	24	True
16	16	16	C0033806	C0334041	Pseudohypoparathyroidism	Osteoma cutis	1855	209	33	7.0	9.0	8	0	15	2	2	1	25	True
17	17	17	C0338503	C0857439	Septo-Optic Dysplasia	Pituitary hormone deficiency	461	18247	117	7.5	7.0	7	0	25	2	0	1	17	False
18	18	18	C0406704	C1858562	Rudiger syndrome 1	ECTRODACTYLY, ECTODERMAL DYSPLASIA, AND CLEFT LIP/PALATE SYNDROME 3	45	58	7	2.0	3.0	3	0	15	2	0	2	7	True
19	19	19	C0035372	C1968550	Rett Syndrome	Mental Retardation, X-Linked, Syndromic 13	3467	14	3	8.5	8.0	7	0	21	2	0	1	5	True
20	20	20	C0021359	C0342384	Infertility	Idiopathic hypogonadotropic hypogonadism	89090	337	61	6.0	7.0	7	0	18	2	2	2	13	False
21	21	21	C0020538	C1851511	Hypertensive disease	PREECLAMPSIA, SUSCEPTIBILITY TO	480148	818	229	4.0	5.0	5	0	27	0	0	0	1	False
22	22	22	C0022579	C0265334	Keratoderma	Pachyonychia Congenita	2901	450	132	4.0	5.0	5	0	29	2	0	3	22	False
23	23	23	C0238111	C1096063	Lennox-Gastaut syndrome	Drug Resistant Epilepsy	1285	4695	143	3.666666667	5.0	4	0	11	0	0	0	25	True
24	24	24	C0017668	C3151568	Focal glomerulosclerosis	NEPHROTIC SYNDROME, TYPE 4	7182	635	103	4.0	5.0	4	0	16	2	0	2	5	True
25	25	25	C0267663	C2678346	Congenital secretory diarrhea, sodium type	Diarrhea 3, Secretory Sodium, Congenital, Syndromic	7	4	1	2.666666667	2.0	2	3	25	0	1	0	3	False
26	26	26	C0234166	C4084968	Hyperexplexia	Hereditary Hyperekplexia	384	879	111	2.666666667	1.0	1	0	28	2	2	2	5	False
27	27	27	C0342384	C4016133	Idiopathic hypogonadotropic hypogonadism	HYPOGONADOTROPIC HYPOGONADISM 7 WITH ANOSMIA	337	73	12	3.0	2.0	2	2	16	0	0	0	1	False
28	28	28	C0017661	C0017662	IGA Glomerulonephritis	Glomerulonephritis, Membranoproliferative	7609	3840	669	2.333333333	2.0	2	1	17	2	1	11	25	True
29	29	29	C1527405	C3889305	Erythrocytosis	HEMOGLOBIN BRIGHAM PHENOTYPE	14085	14	2	4.666666667	5.0	5	0	14	0	0	0	1	True
30	30	30	C0265253	C0542428	Stickler syndrome	Hypochondrogenesis	344	48	9	5.666666667	8.0	7	0	18	2	2	3	11	False
31	31	31	C4015858	C4017425	APOE2 ISOFORMS	APOE2-FUKUOKA PHENOTYPE	419	491394	57	4.333333333	8.0	5	1	13	0	0	0	0	True
32	32	32	C1850386	C4016946	GIANT AXONAL NEUROPATHY 1	PSEUDOHYPOALDOSTERONISM, TYPE IID, AUTOSOMAL DOMINANT OR RECESSIVE	259	66587	62	6.0	9.0	7	0	23	0	0	0	1	False
33	33	33	C1264039	C1264041	von Willebrand Disease, Type 1	von Willebrand Disease, Type 3	222	65	14	2.333333333	1.0	2	2	21	0	1	0	25	True
34	34	34	C0079294	C0268374	Epidermolysis Bullosa Dystrophica	Adult junctional epidermolysis bullosa	1176	196	25	3.666666667	6.0	4	2	12	2	0	0	21	True
35	35	35	C0023264	C0268237	Leigh Disease	Cytochrome-c Oxidase Deficiency	2270	1395	174	5.333333333	7.0	8	0	12	2	0	2	25	False
36	36	36	C0007102	C1837315	Malignant tumor of colon	COLORECTAL CANCER, SUSCEPTIBILITY TO, 1	85229	3581	705	4.333333333	8.0	9	0	19	0	0	0	5	False
37	37	37	C0009691	C0018522	Congenital cataract	Hallermann's Syndrome	4934	201	60	5.0	5.0	5	0	29	2	0	2	24	False
38	38	38	C0020479	C4017423	Hyperlipoproteinemia Type III	APOE3-WASHINGTON PHENOTYPE	1143	491394	220	4.333333333	5.0	6	0	19	0	0	0	0	False
39	39	39	C0011860	C0158981	Diabetes Mellitus, Non-Insulin-Dependent	Neonatal diabetes mellitus	142114	12461	1972	5.0	3.0	3	2	15	2	0	1	25	True
40	40	40	C1706595	C2931923	Pachyonychia Congenita, Jadassohn Lewandowsky Type	Hyperkeratosis of the palms and soles and esophageal papillomas	450	5	1	6.0	7.0	6	0	20	2	2	1	16	True
41	41	41	C0003850	C0270612	Arteriosclerosis	Leukoencephalopathies	168968	29481	4679	7.666666667	8.0	9	0	15	2	0	4	25	True
42	42	42	C0270912	C0270922	Charcot-Marie-Tooth Disease, Type Ib	Peripheral demyelinating neuropathy	4570	2245	377	7.0	8.0	10	0	16	0	0	0	24	True
43	43	43	C0342870	C1136249	Bifunctional peroxisomal enzyme deficiency	Mental Retardation, X-Linked	110	14636	14	4.333333333	7.0	5	0	12	2	0	0	20	False
44	44	44	C0023931	C0542428	Lobstein's Disease	Hypochondrogenesis	5402	48	7	5.333333333	9.0	7	0	14	2	0	2	11	False
45	45	45	C0032463	C0836924	Polycythemia Vera	Thrombocytosis	7725	7671	1484	4.0	7.0	4	0	19	2	2	9	24	False
46	46	46	C0007193	C3149722	Cardiomyopathy, Dilated	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC 18	21868	130	27	3.333333333	4.0	2	1	20	2	0	1	1	False
47	47	47	C0024145	C0796126	Chilblain lupus 1	AICARDI-GOUTIERES SYNDROME 1	45	382	8	6.333333333	4.0	2	1	17	2	1	1	4	True
48	48	48	C0011265	C3152097	Presenile dementia	AMYOTROPHIC LATERAL SCLEROSIS 14 WITHOUT FRONTOTEMPORAL DEMENTIA	98853	103	16	7.333333333	7.0	9	0	15	0	0	0	2	False
49	49	49	C0005283	C3279561	beta Thalassemia	HEMOGLOBIN H DISEASE, NONDELETIONAL	14284	121	32	3.0	7.0	6	0	26	0	0	0	4	True
50	50	50	C0005283	C4017449	beta Thalassemia	HEMOGLOBIN I (BURLINGTON) PHENOTYPE	14284	8	1	3.0	7.0	6	0	12	0	0	0	2	False
51	51	51	C0175694	C2931048	Smith-Lemli-Opitz Syndrome	HEM dysplasia	844	11	3	5.0	7.0	7	0	27	0	0	0	19	True
52	52	52	C0346429	C1835398	Multiple malignancy	LI-FRAUMENI SYNDROME 1	215327	454	108	4.333333333	8.0	6	0	23	2	0	2	7	False
53	53	53	C0007193	C0410189	Cardiomyopathy, Dilated	Muscular Dystrophy, Emery-Dreifuss	21868	721	130	5.333333333	9.0	7	0	18	2	0	2	25	True
54	54	54	C0010273	C4016345	Craniofacial Dysostosis	PFEIFFER SYNDROME, TYPE III	5697	45	9	4.666666667	8.0	7	0	20	0	2	0	1	False
55	55	55	C0265281	C1868616	Metatropic dwarfism	Parastremmatic dwarfism	43	8	2	2.666666667	1.0	1	1	25	2	1	1	8	True
56	56	56	C0033804	C3550478	Pseudohermaphroditism	HYPOGONADOTROPIC HYPOGONADISM 3 WITH OR WITHOUT ANOSMIA	42724	10033	1319	4.0	7.0	7	0	13	0	0	0	3	False
57	57	57	C0041207	C1857586	Truncus Arteriosus, Persistent	CONOTRUNCAL HEART MALFORMATIONS	1013	133	25	4.0	1.0	1	0	18	1	1	3	7	False
58	58	58	C0349653	C2609069	Congenital disorder of glycosylation type 1A	Enzyme activity decreased	35	108828	5	3.666666667	7.0	5	0	14	0	0	0	22	False
59	59	59	C0002768	C0020074	Congenital Pain Insensitivity	HSAN Type IV	653	2026	194	2.333333333	3.0	3	0	29	2	2	3	25	True
60	60	60	C0271980	C4017529	beta^0^ Thalassemia	HEMOGLOBIN B(2) PHENOTYPE	529	7	1	5.333333333	7.0	8	0	14	0	0	0	1	False
61	61	61	C0162674	C1843851	Chronic progressive external ophthalmoplegia	Sensory ataxic neuropathy, dysarthria, and ophthalmoparesis	1371	7	1	6.0	9.0	8	0	14	2	0	2	6	True
62	62	62	C0238462	C1833930	Medullary carcinoma of thyroid	PHEOCHROMOCYTOMA, SOMATIC	7190	236	40	4.333333333	9.0	6	0	16	0	0	0	3	True
63	63	63	C0013336	C2748571	Dwarfism	Isolated Growth Hormone Deficiency, Type IB	17277	24	6	2.666666667	4.0	3	0	25	0	2	0	10	False
64	64	64	C0270612	C0751587	Leukoencephalopathies	CADASIL Syndrome	29481	1227	180	2.0	3.0	2	0	14	2	0	4	25	True
65	65	65	C1283400	C4017556	Butyrylcholinesterase deficiency	CHE*539T PHENOTYPE	54	491394	7	5.666666667	7.0	7	0	12	0	0	0	0	False
66	66	66	C1852510	C3266898	Craniofacial deafness hand syndrome	Waardenburg Syndrome	27	1033	6	6.333333333	7.0	7	0	22	2	2	1	9	True
67	67	67	C0339526	C1838647	Autosomal recessive retinitis pigmentosa	RETINITIS PIGMENTOSA 12	1150	10	2	5.666666667	3.0	5	2	20	0	0	0	8	False
68	68	68	C0342579	C2748572	Electrolyte imbalance	SeSAME syndrome	8646	27	6	6.666666667	8.0	7	0	22	0	0	0	21	False
69	69	69	C0750384	C4017431	Coumarin Resistance	CYPA6*2 PHENOTYPE	28	491394	5	4.333333333	3.0	2	0	17	0	1	0	1	False
70	70	70	C2939465	C4016542	Deficiency of glucose-6-phosphate dehydrogenase	G6PD JAPAN PHENOTYPE	5461	12	2	4.666666667	7.0	5	0	16	0	2	0	1	False
71	71	71	C1860406	C2745945	VITREORETINOCHOROIDOPATHY	Juvenile-Onset Vitelliform Macular Dystrophy	35	497	5	4.0	5.0	4	0	14	2	0	0	0	False
72	72	72	C0265216	C1839909	X-linked hydrocephalus syndrome	CORPUS CALLOSUM, PARTIAL AGENESIS OF, X-LINKED	144	21	4	6.666666667	3.0	2	2	19	0	1	0	3	True
73	73	73	C0011854	C1833104	Diabetes Mellitus, Insulin-Dependent	DIABETES MELLITUS, PERMANENT NEONATAL	92179	71	8	4.333333333	5.0	4	2	11	2	0	1	22	True
74	74	74	C1721007	C1840427	Pachyonychia Congenita, Type 2	PALMOPLANTAR KERATODERMA, EPIDERMOLYTIC, WITH KNUCKLE PADS	450	9	1	4.333333333	8.0	6	0	11	0	0	0	4	True
75	75	75	C0079301	C2673612	Junctional Epidermolysis Bullosa	Epidermolysis Bullosa Dystrophica Inversa, Autosomal Recessive	786	4	1	4.333333333	3.0	2	2	25	0	0	0	3	True
76	76	76	C0339510	C1860406	Vitelliform Macular Dystrophy	VITREORETINOCHOROIDOPATHY	497	35	5	4.333333333	6.0	5	0	14	0	0	0	0	False
77	77	77	C1275081	C1860991	Cardio-facio-cutaneous syndrome	NOONAN SYNDROME 3	248	584	28	8.333333332999999	7.0	7	0	11	2	0	1	5	False
78	78	78	C0039743	C0410529	Thanatophoric Dysplasia	Hypochondroplasia	502	271	57	4.0	7.0	5	0	21	2	0	0	24	True
79	79	79	C0752166	C3151185	Bardet-Biedl Syndrome	SHORT-RIB THORACIC DYSPLASIA 4 WITH OR WITHOUT POLYDACTYLY	1122	3310	278	7.666666667	7.0	7	0	24	0	0	0	4	True
80	80	80	C0085298	C0949658	Sudden Cardiac Death	Cardiomyopathy, Hypertrophic, Familial	31397	1512	316	5.666666667	7.0	6	0	20	2	0	1	24	False
81	81	81	C0029464	C3280402	Osteosclerosis	SCLEROSTEOSIS 2	6048	51	9	4.0	5.0	4	0	17	2	0	1	3	True
82	82	82	C0340978	C1834478	May-Hegglin anomaly	MACROTHROMBOCYTOPENIA AND PROGRESSIVE SENSORINEURAL DEAFNESS	281	17	4	1.6666666669999999	2.0	1	0	23	1	2	1	3	True
83	83	83	C0029456	C0268360	Osteoporosis	Osteogenesis imperfecta, recessive perinatal lethal	81415	16	2	4.0	6.0	6	0	12	0	0	0	17	False
84	84	84	C0079661	C1852510	Klein's Syndrome	Craniofacial deafness hand syndrome	1033	27	6	3.666666667	4.0	4	0	22	2	0	1	9	True
85	85	85	C0085584	C3554067	Encephalopathies	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 11	600000	121	30	5.333333333	5.0	7	0	24	0	0	0	4	True
86	86	86	C0007193	C0574083	Cardiomyopathy, Dilated	3-Methylglutaconic aciduria type 2	21868	656	106	9.666666667000001	10.0	9	0	16	2	0	1	24	True
87	87	87	C0346429	C2675080	Multiple malignancy	Li-Fraumeni-Like Syndrome	215327	54	8	6.0	6.0	8	0	14	0	0	0	4	False
88	88	88	C0265202	C1868684	Seckel syndrome	EAR, PATELLA, SHORT STATURE SYNDROME	230	44	6	3.666666667	5.0	4	0	13	2	0	1	24	True
89	89	89	C0270862	C3553788	Hemiplegic migraine	ALTERNATING HEMIPLEGIA OF CHILDHOOD 2	999	66	13	4.0	6.0	5	0	19	0	0	0	4	True
90	90	90	C0002312	C4017449	alpha-Thalassemia	HEMOGLOBIN I (BURLINGTON) PHENOTYPE	7139	8	1	5.333333333	4.0	2	0	12	0	1	0	2	False
91	91	91	C0023264	C0034345	Leigh Disease	Pyruvate Dehydrogenase Complex Deficiency Disease	2270	525	92	5.666666667	6.0	8	0	17	2	0	5	25	True
92	92	92	C0151686	C0265252	Growth retardation	Coffin-Lowry syndrome	35291	226	31	5.0	6.0	7	0	13	0	0	0	24	False
93	93	93	C0026705	C0086647	Mucopolysaccharidosis II	Mucopolysaccharidosis Type IIIA	1323	889	209	2.333333333	3.0	1	1	23	2	2	2	25	True
94	94	94	C1321551	C1836635	Shprintzen-Goldberg syndrome	Loeys-Dietz Aortic Aneurysm Syndrome	59	436	13	6.333333333	7.0	9	0	22	2	0	2	13	True
95	95	95	C0007193	C0007194	Cardiomyopathy, Dilated	Hypertrophic Cardiomyopathy	21868	18881	2498	4.666666667	4.0	3	1	13	2	2	10	25	True
96	96	96	C0268494	C1847132	Oculocutaneous albinism type 1	ALBINISM, OCULOCUTANEOUS, TYPE I, TEMPERATURE-SENSITIVE	53	12	2	4.333333333	4.0	2	2	16	0	1	0	6	True
97	97	97	C0013575	C0020608	Ectodermal Dysplasia	Hypodontia	5832	4163	711	5.333333333	6.0	6	0	17	2	0	4	24	False
98	98	98	C0007959	C1408181	Charcot-Marie-Tooth Disease	Neuropathy (motor and sensory)	4570	5798	937	7.333333333	7.0	9	0	20	0	0	0	5	True
99	99	99	C0027726	C1866075	Nephrotic Syndrome	GLOMERULOPATHY WITH FIBRONECTIN DEPOSITS 2	21763	17	2	5.333333333	5.0	7	0	11	2	0	1	8	True
100	100	100	C0432201	C3668942	Boomerang dysplasia	Atelosteogenesis Type 3	25	4	1	5.666666667	4.0	2	0	25	0	1	0	11	False
101	101	101	C0796176	C1848947	STUVE-WIEDEMANN SYNDROME	COLD-INDUCED SWEATING SYNDROME 1	57	32	4	9.0	10.0	8	0	12	2	0	0	5	True
102	102	102	C0035334	C1536451	Retinitis Pigmentosa	Central areolar choroidal sclerosis	10816	50	8	7.0	8.0	9	0	16	2	0	3	13	True
103	103	103	C1302401	C3272841	Adenoma of large intestine	MUTYH-Associate Polyposis	3679	18037	917	4.0	5.0	5	0	24	2	0	0	3	True
104	104	104	C0024796	C0265313	Marfan Syndrome	Weill-Marchesani syndrome	7116	152	36	4.333333333	5.0	8	0	23	2	2	3	24	True
105	105	105	C0241889	C0268113	Family history	Familial juvenile gout	117019	24	3	7.666666667	9.0	10	0	12	2	0	5	20	False
106	106	106	C0268595	C0268635	Glutaric aciduria, type 1	Acyl-CoA dehydrogenase deficiency	338	1646	39	5.333333333	7.0	9	0	11	3	2	1	10	True
107	107	107	C0339527	C0854723	Leber Congenital Amaurosis	Retinal Dystrophies	931	9449	250	4.0	6.0	5	0	26	2	0	7	25	True
108	108	108	C0155626	C1832662	Acute myocardial infarction	MYOCARDIAL INFARCTION, SUSCEPTIBILITY TO	89185	2629	607	4.666666667	4.0	3	2	23	2	0	1	11	False
109	109	109	C0022735	C3550478	Klinefelter Syndrome	HYPOGONADOTROPIC HYPOGONADISM 3 WITH OR WITHOUT ANOSMIA	4232	10033	790	2.666666667	3.0	3	0	18	0	0	0	3	True
110	110	110	C0024141	C1328840	Lupus Erythematosus, Systemic	Autoimmune Lymphoproliferative Syndrome	68503	942	114	5.0	7.0	6	0	12	2	0	1	25	True
111	111	111	C0018553	C0345893	Hamartoma Syndrome, Multiple	Juvenile polyposis syndrome	1768	217	33	5.666666667	8.0	7	0	15	2	0	1	24	True
112	112	112	C1846357	C3150796	Meckel syndrome type 3	NEPHRONOPHTHISIS 11	8	80	2	5.333333333	7.0	2	0	25	0	1	0	3	True
113	113	113	C0028326	C0587248	Noonan Syndrome	Costello syndrome	2113	665	155	4.333333333	7.0	5	0	23	0	0	0	24	True
114	114	114	C0023264	C1855008	Leigh Disease	Mitochondrial Complex II Deficiency	2270	12	2	5.666666667	8.0	7	0	16	0	0	0	7	True
115	115	115	C2752039	C3463916	HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 3	Complement Factor I (C3 inactivator) deficiency	45	5	1	6.0	7.0	3	0	20	2	1	0	5	False
116	116	116	C1861864	C2676271	Cardiomyopathy, Familial Hypertrophic, 2	CARDIOMYOPATHY, FAMILIAL RESTRICTIVE, 3	641	67	13	3.0	4.0	2	2	19	2	1	1	6	True
117	117	117	C0004352	C3714756	Autistic Disorder	Intellectual Disability	21522	97825	3133	5.0	6.0	4	0	14	2	2	2	25	True
118	118	118	C0001125	C1839885	Acidosis, Lactic	Leigh Syndrome, X-Linked	8355	25	3	4.666666667	5.0	6	0	12	0	0	0	2	True
119	119	119	C0001627	C1860042	Congenital adrenal hyperplasia	Antley-Bixler Syndrome with Disordered Steroidogenesis	7843	74	18	6.666666667	8.0	10	0	24	0	0	0	24	True
120	120	120	C0007115	C0018553	Malignant neoplasm of thyroid	Hamartoma Syndrome, Multiple	67377	1768	279	5.666666667	6.0	7	0	15	2	0	2	25	True
121	121	121	C0003119	C1859773	Anophthalmos	Microphthalmia, Syndromic 3	1093	7	1	4.333333333	5.0	5	0	14	0	0	0	25	False
122	122	122	C0342384	C4016670	Idiopathic hypogonadotropic hypogonadism	HYPOGONADOTROPIC HYPOGONADISM 6 WITH ANOSMIA	337	111	18	4.0	3.0	2	2	16	0	0	0	1	False
123	123	123	C0010273	C3267076	Craniofacial Dysostosis	Familial scaphocephaly syndrome	5697	289	35	4.0	7.0	7	0	12	0	0	0	22	True
124	124	124	C0001623	C0268285	Adrenal gland hypofunction	Adrenal hyperplasia, congenital, type 5	16254	9	1	6.666666667	7.0	7	1	11	2	0	3	24	True
125	125	125	C0023976	C1865020	Long QT Syndrome	Short QT Syndrome 1	9236	8	2	4.666666667	5.0	5	1	25	0	0	0	4	True
126	126	126	C0013336	C0432230	Dwarfism	Langer Mesomelic Dysplasia Syndrome	17277	32	6	3.0	5.0	4	0	18	0	0	0	24	False
127	127	127	C0403440	C1567743	Thin basement membrane disease	Alport Syndrome, Autosomal Dominant	358	2106	87	7.666666667	8.0	9	0	24	2	2	1	15	True
128	128	128	C1261473	C2675080	Sarcoma	Li-Fraumeni-Like Syndrome	167461	54	9	5.333333333	6.0	5	0	16	0	0	0	4	False
129	129	129	C0017661	C0268743	IGA Glomerulonephritis	Membranoproliferative Glomerulonephritis, Type II	7609	3840	669	7.0	7.0	8	1	17	2	2	4	25	True
130	130	130	C1856170	C4015778	ALZHEIMER DISEASE, SUSCEPTIBILITY TO	ALPHA-2-MACROGLOBULIN POLYMORPHISM	3977	93	14	3.0	2.0	2	0	15	0	1	0	1	True
131	131	131	C0001418	C2675080	Adenocarcinoma	Li-Fraumeni-Like Syndrome	392635	54	7	3.333333333	4.0	4	0	12	0	0	0	4	False
132	132	132	C0000768	C0751882	Congenital Abnormality	Myasthenic Syndromes, Congenital	591498	621	75	5.333333333	6.0	5	0	12	2	0	1	25	False
133	133	133	C0007194	C3150682	Hypertrophic Cardiomyopathy	LEFT VENTRICULAR NONCOMPACTION 4	18881	318	50	4.333333333	4.0	3	0	15	0	0	0	3	True
134	134	134	C0268595	C4017056	Glutaric aciduria, type 1	ISOVALERIC ACIDEMIA, TYPE I	338	26	7	5.333333333	7.0	6	0	26	0	0	0	1	False
135	135	135	C0023264	C1839413	Leigh Disease	Pyruvate Dehydrogenase E1 Alpha Deficiency	2270	15	2	5.333333333	6.0	7	0	13	2	0	1	8	True
136	136	136	C0079474	C0268374	Hallopeau-Siemens Disease	Adult junctional epidermolysis bullosa	1183	196	26	5.333333333	5.0	6	0	13	2	0	1	21	True
137	137	137	C0000768	C2931258	Congenital Abnormality	Amaurosis congenita of Leber, type 1	591498	5	1	3.666666667	4.0	3	0	20	2	0	1	12	False
138	138	138	C0005129	C4087502	Bernard-Soulier Syndrome	Giant platelet disorder	696	591	133	3.333333333	4.0	3	0	22	0	0	0	11	False
139	139	139	C0162569	C0268323	Hepatoerythropoietic Porphyria	Familial porphyria cutanea tarda	259	197	29	3.333333333	3.0	1	1	14	2	1	1	17	True
140	140	140	C0524528	C2677682	Pervasive Development Disorder	Rett Syndrome, Zappella Variant	30510	28	4	5.0	7.0	7	0	14	0	0	0	3	False
141	141	141	C0029422	C2677099	Osteochondrodysplasias	CROUZON SYNDROME WITH ACANTHOSIS NIGRICANS	28883	24	4	7.333333333	6.0	7	0	16	0	0	0	11	True
142	142	142	C0339526	C1848634	Autosomal recessive retinitis pigmentosa	USHER SYNDROME, TYPE IIA	1150	26	5	3.666666667	8.0	7	0	19	2	0	0	7	False
143	143	143	C0034341	C1136249	Pyruvate Carboxylase Deficiency Disease	Mental Retardation, X-Linked	174	14636	27	6.666666667	9.0	8	0	15	2	0	2	24	True
144	144	144	C0339510	C2674009	Vitelliform Macular Dystrophy	Microcornea, Rod-Cone Dystrophy, Cataract, And Posterior Staphyloma	497	37	5	7.0	5.0	5	1	13	0	2	0	4	True
145	145	145	C0024796	C1861456	Marfan Syndrome	Stiff Skin Syndrome	7116	55	8	4.0	3.0	2	0	14	0	1	0	7	True
146	146	146	C0031511	C0238462	Pheochromocytoma	Medullary carcinoma of thyroid	21435	7190	1033	6.333333333	6.0	8	0	14	2	0	3	25	True
147	147	147	C0011854	C0158981	Diabetes Mellitus, Insulin-Dependent	Neonatal diabetes mellitus	92179	12461	3493	3.666666667	3.0	2	2	28	2	0	1	25	True
148	148	148	C0024796	C0162872	Marfan Syndrome	Aortic Aneurysm, Thoracic	7116	19227	1020	6.333333333	7.0	7	0	14	2	2	9	24	True
149	149	149	C0005684	C2674643	Malignant neoplasm of urinary bladder	KERATOSIS, SEBORRHEIC, SOMATIC	59248	15	2	5.333333333	6.0	6	0	13	0	0	0	2	False
150	150	150	C0220989	C1720861	Acquired partial lipodystrophy	Familial Partial Lipodystrophy, Type 3	168	329	38	4.0	4.0	3	2	22	0	0	0	11	True
151	151	151	C1283400	C4017544	Butyrylcholinesterase deficiency	CHE*70G PHENOTYPE	54	491394	7	5.666666667	6.0	5	0	12	0	0	0	0	False
152	152	152	C0033847	C3276161	Pseudoxanthoma Elasticum	ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 2	1837	39	6	4.333333333	3.0	2	0	15	0	1	0	4	True
153	153	153	C0393570	C0751072	Corticobasal degeneration	Frontotemporal Lobar Degeneration	1556	4875	311	4.666666667	5.0	3	1	19	2	0	0	24	False
154	154	154	C0342790	C1829703	Carnitine palmitoyl transferase 2 deficiency	Carnitine palmitoyl transferase 1A deficiency	38	8	1	4.333333333	5.0	3	3	12	2	0	1	22	True
155	155	155	C0027726	C0950121	Nephrotic Syndrome	Denys-Drash Syndrome	21763	294	69	5.0	6.0	6	0	23	2	0	1	24	True
156	156	156	C0018965	C1567742	Hematuria	Alport Syndrome, X-Linked	24388	2064	393	4.0	6.0	4	0	19	2	2	3	22	True
157	157	157	C0020640	C0272317	Inherited Factor II deficiency	Hereditary factor II deficiency disease	1411	80	16	3.333333333	3.0	1	2	20	0	2	0	21	True
158	158	158	C0014544	C3554078	Epilepsy	BRANCHED-CHAIN KETO ACID DEHYDROGENASE KINASE DEFICIENCY	140074	27	3	5.333333333	7.0	8	0	11	0	0	0	4	True
159	159	159	C0268358	C0268363	Osteogenesis imperfecta, dominant perinatal lethal	Osteogenesis imperfecta type IV	22	369	4	2.666666667	2.0	1	2	18	2	1	1	24	True
160	160	160	C0035334	C0271093	Retinitis Pigmentosa	Stargardt's disease	10816	268	62	7.333333333	9.0	10	0	23	2	0	1	25	True
161	161	161	C0000768	C0432217	Congenital Abnormality	Wolcott-Rallison syndrome	591498	91	22	6.0	7.0	8	0	24	0	0	0	25	False
162	162	162	C1449563	C1832370	Cardiomyopathy, Familial Idiopathic	MYOPATHY, MYOFIBRILLAR, DESMIN-RELATED	21940	23	5	6.0	7.0	6	0	21	2	0	2	23	True
