CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs	Level_of_similarity	Level_of_confidence
C0085584	C0346429	Encephalopathies	Multiple malignancy	600000	215327	7236	1	2
C0018203	C1844376	Chronic granulomatous disease	"Granulomatous Disease, Chronic, X-Linked"	7233	7233	7233	0	1
C0022336	C0162534	Creutzfeldt-Jakob disease	Prion Diseases	7921	18275	7196	0	1
C0238462	C0549473	Medullary carcinoma of thyroid	Thyroid carcinoma	7190	68555	7190	0	1
C0002312	C1456873	alpha-Thalassemia	alpha^+^ Thalassemia	7139	7139	7139	0	1
C0002312	C4017522	alpha-Thalassemia	BETA-SHOWA-YAKUSHIJI THALASSEMIA	7139	26719	7139	0	1
C0009402	C0032580	Colorectal Carcinoma	Adenomatous Polyposis Coli	201452	8907	7113	0	3
C0003850	C0020443	Arteriosclerosis	Hypercholesterolemia	168968	42411	6936	1	2
C0020443	C0020445	Hypercholesterolemia	"Hypercholesterolemia, Familial"	42411	8959	6924	0	1
C0007115	C0346429	Malignant neoplasm of thyroid	Multiple malignancy	67377	215327	6703	1	2
C0018798	C3280777	Congenital Heart Defects	VENTRICULAR SEPTAL DEFECT 1	147610	8122	6696	1	2
C0031485	C0751435	Phenylketonurias	Hyperphenylalaninaemia	6679	6755	6679	0	1
C0751435	C0751436	Hyperphenylalaninaemia	"Hyperphenylalaninemia, Non-Phenylketonuric"	6755	6681	6679	0	1
C0346429	C0376358	Multiple malignancy	Malignant neoplasm of prostate	215327	120279	6678	1	2
C0027051	C3553943	Myocardial Infarction	"T-CELL IMMUNODEFICIENCY, RECURRENT INFECTIONS, AND AUTOIMMUNITY WITH OR WITHOUT CARDIAC MALFORMATIONS"	234627	168719	6662	1	2
C0001627	C0033804	Congenital adrenal hyperplasia	Pseudohermaphroditism	7843	42724	6650	1	3
C0020456	C0020615	Hyperglycemia	Hypoglycemia	65305	45772	6608	0	3
C0007115	C0238462	Malignant neoplasm of thyroid	Medullary carcinoma of thyroid	67377	7190	6592	0	2
C0018818	C3280777	Ventricular Septal Defects	VENTRICULAR SEPTAL DEFECT 1	17602	8122	6570	0	2
C0010674	C0746102	Cystic Fibrosis	Chronic lung disease	49380	127813	6518	1	2
C0036341	C2675945	Schizophrenia	"SCHIZOPHRENIA, SUSCEPTIBILITY TO"	134381	6516	6516	0	1
C0001768	C0549463	Agammaglobulinemia	X-Linked Lymphoproliferative Disorder	7575	340694	6513	1	2
C0398794	C1846862	Hypopigmentation-immunodeficiency disease	PARKINSON DISEASE 8	600000	10370	6261	1	2
C0005283	C4311016	beta Thalassemia	HEMOGLOBIN BUGINESE-X	14284	196933	6166	1	2
C0000768	C0010278	Congenital Abnormality	Craniosynostosis	591498	6837	6105	1	3
C0005684	C0376358	Malignant neoplasm of urinary bladder	Malignant neoplasm of prostate	59248	120279	6085	0	1
C0000768	C1136249	Congenital Abnormality	"Mental Retardation, X-Linked"	591498	14636	6069	1	2
C0006142	C0024623	Malignant neoplasm of breast	Malignant neoplasm of stomach	309961	103330	6064	0	2
C0011860	C3275844	"Diabetes Mellitus, Non-Insulin-Dependent"	"DIABETES MELLITUS, TYPE II, SUSCEPTIBILITY TO"	142114	6764	6045	0	2
C0009402	C1858438	Colorectal Carcinoma	"COLORECTAL CANCER, SUSCEPTIBILITY TO"	201452	6432	6025	0	3
C0006142	C0007102	Malignant neoplasm of breast	Malignant tumor of colon	309961	85229	6015	0	2
C0007115	C0242379	Malignant neoplasm of thyroid	Malignant neoplasm of lung	67377	261819	5939	0	2
C0011053	C0018784	Deafness	Sensorineural Hearing Loss	39032	29379	5851	0	1
C0021655	C0242339	Insulin Resistance	Dyslipidemias	113459	75706	5837	1	2
C0007102	C0242379	Malignant tumor of colon	Malignant neoplasm of lung	85229	261819	5812	0	2
C0011860	C1868289	"Diabetes Mellitus, Non-Insulin-Dependent"	"DIABETES MELLITUS, NONINSULIN-DEPENDENT, SUSCEPTIBILITY TO"	142114	5810	5805	0	1
C0011860	C3837967	"Diabetes Mellitus, Non-Insulin-Dependent"	"DIABETES MELLITUS, TYPE 2, SUSCEPTIBILITY TO"	142114	5806	5801	0	1
C0006142	C0007115	Malignant neoplasm of breast	Malignant neoplasm of thyroid	309961	67377	5707	0	1
C0006142	C0549473	Malignant neoplasm of breast	Thyroid carcinoma	309961	68555	5698	1	3
C0034155	C1268935	"Purpura, Thrombotic Thrombocytopenic"	Congenital Thrombotic Thrombocytopenic Purpura	5608	5608	5608	0	1
C0036341	C0085584	Schizophrenia	Encephalopathies	134381	600000	5593	1	3
C0004096	C0392707	Asthma	Atopy	175845	10321	5566	0	1
C0000768	C0848558	Congenital Abnormality	Hypospadias	591498	6633	5513	0	1
C0948896	C3550478	Primary hypogonadism	HYPOGONADOTROPIC HYPOGONADISM 3 WITH OR WITHOUT ANOSMIA	17394	10033	5506	0	3
C0740457	C1261473	Malignant neoplasm of kidney	Sarcoma	99701	167461	5500	1	3
C0021390	C4016006	Inflammatory Bowel Diseases	INFLAMMATORY BOWEL DISEASE 25	84428	6170	5473	0	2
C0018817	C3279790	Atrial Septal Defects	Atrial Septal Defect 3	17477	6375	5449	0	2
C0029464	C0432272	Osteosclerosis	Van Buchem disease	6048	28959	5419	1	2
C0017205	C1961835	Gaucher Disease	"Gaucher Disease, Type 1"	5417	5417	5417	0	1
C0017205	C0268251	Gaucher Disease	"Gaucher Disease, Type 3"	5417	5417	5417	0	1
C0268251	C1961835	"Gaucher Disease, Type 3"	"Gaucher Disease, Type 1"	5417	5417	5417	0	1
C0017205	C0268250	Gaucher Disease	"Gaucher Disease, Type 2"	5417	5417	5417	0	1
C0268250	C0268251	"Gaucher Disease, Type 2"	"Gaucher Disease, Type 3"	5417	5417	5417	0	1
C0268250	C1961835	"Gaucher Disease, Type 2"	"Gaucher Disease, Type 1"	5417	5417	5417	0	1
C0023931	C0029434	Lobstein's Disease	Osteogenesis Imperfecta	5402	5398	5398	0	1
C0004364	C3150797	Autoimmune Diseases	"AUTOIMMUNE DISEASE, SUSCEPTIBILITY TO, 6"	478300	5594	5285	0	3
C0242379	C0376358	Malignant neoplasm of lung	Malignant neoplasm of prostate	261819	120279	5279	0	1
C0000768	C0021359	Congenital Abnormality	Infertility	591498	89090	5161	0	3
C0018021	C0020676	Goiter	Hypothyroidism	37728	42860	5081	0	1
C0009402	C0278996	Colorectal Carcinoma	Cancer of Head and Neck	201452	312581	4974	1	3
C0004509	C0021364	Azoospermia	Male infertility	6203	45629	4955	0	1
C0014544	C0751122	Epilepsy	Infantile Severe Myoclonic Epilepsy	140074	4923	4914	0	1
C0017638	C0346429	Glioma	Multiple malignancy	87189	215327	4912	1	2
C0011860	C0242339	"Diabetes Mellitus, Non-Insulin-Dependent"	Dyslipidemias	142114	75706	4909	1	3
C0033804	C0238395	Pseudohermaphroditism	Male Pseudohermaphroditism	42724	4886	4886	0	1
C0393702	C0751122	Myoclonic Astatic Epilepsy	Infantile Severe Myoclonic Epilepsy	4919	4923	4866	0	1
C0018817	C2748552	Atrial Septal Defects	Atrial Septal Defect 5	17477	5673	4862	0	2
C0543888	C0751122	Epileptic encephalopathy	Infantile Severe Myoclonic Epilepsy	113136	4923	4845	0	1
C0011860	C2675866	"Diabetes Mellitus, Non-Insulin-Dependent"	"DIABETES MELLITUS, INSULIN-DEPENDENT, 20"	142114	10596	4822	0	2
C0030421	C3279992	Paraganglioma	PARAGANGLIOMAS 5	23102	4902	4816	0	1
C1142166	C1955837	Brugada Syndrome	Sudden Unexplained Nocturnal Death Syndrome (SUNDS)	4775	4785	4775	0	1
C0030567	C4016848	Parkinson Disease	PARKINSON DISEASE 14	73702	4765	4765	0	1
C0018965	C0033687	Hematuria	Proteinuria	24388	58841	4745	0	3
C0019569	C0085758	Hirschsprung Disease	"Aganglionosis, Colonic"	4704	4776	4704	0	1
C0014544	C1096063	Epilepsy	Drug Resistant Epilepsy	140074	4695	4695	0	1
C0003850	C0270612	Arteriosclerosis	Leukoencephalopathies	168968	29481	4679	1	2
C0030567	C3280271	Parkinson Disease	PARKINSON DISEASE 18	73702	4671	4671	0	1
C0020443	C0745103	Hypercholesterolemia	Hyperlipoproteinemia Type IIa	42411	6782	4656	0	3
C0009402	C1333990	Colorectal Carcinoma	Hereditary Nonpolyposis Colorectal Cancer	201452	4869	4653	0	3
C0023240	C0023241	Legionellosis	Legionnaires' Disease	5560	5160	4633	0	1
C0150312	C2239176	Present	Liver carcinoma	600000	130028	4633	1	2
C0085413	C2751306	"Polycystic Kidney, Autosomal Dominant"	"Polycystic kidney disease, type 2"	4608	4608	4608	0	1
C0013336	C0020676	Dwarfism	Hypothyroidism	17277	42860	4594	0	3
C0007959	C0270912	Charcot-Marie-Tooth Disease	"Charcot-Marie-Tooth Disease, Type Ib"	4570	4570	4570	0	1
C0543888	C3714756	Epileptic encephalopathy	Intellectual Disability	113136	97825	4559	1	2
C0029434	C0038015	Osteogenesis Imperfecta	Spondyloepiphyseal Dysplasia	5398	29077	4460	1	3
C0023931	C0038015	Lobstein's Disease	Spondyloepiphyseal Dysplasia	5402	29077	4460	1	2
C0026760	C0029434	Multiple Epiphyseal Dysplasia	Osteogenesis Imperfecta	29049	5398	4457	0	3
C0023931	C0026760	Lobstein's Disease	Multiple Epiphyseal Dysplasia	5402	29049	4457	1	3
C0002312	C0002878	alpha-Thalassemia	"Anemia, Hemolytic"	7139	74976	4441	1	3
C0007134	C0242379	Renal Cell Carcinoma	Malignant neoplasm of lung	47304	261819	4429	0	3
C0003811	C1142166	Cardiac Arrhythmia	Brugada Syndrome	218808	4775	4353	1	2
C0006142	C0029925	Malignant neoplasm of breast	Ovarian Carcinoma	309961	34444	4320	1	3
C0018817	C2751315	Atrial Septal Defects	Atrial Septal Defect 6	17477	5024	4315	0	2
C0000768	C0019569	Congenital Abnormality	Hirschsprung Disease	591498	4704	4305	0	3
C0155015	C0155016	"Color Blindness, Red"	"Color Blindness, Red-Green"	4267	4243	4243	0	1
C0011854	C0020459	"Diabetes Mellitus, Insulin-Dependent"	Hyperinsulinism	92179	81647	4233	0	3
C0017668	C0333497	Focal glomerulosclerosis	Segmental glomerulosclerosis	7182	4211	4125	0	1
C0007134	C0346429	Renal Cell Carcinoma	Multiple malignancy	47304	215327	4102	1	2
C0017638	C0025286	Glioma	Meningioma	87189	22162	4099	1	3
C0238395	C2751824	Male Pseudohermaphroditism	"46, XY Disorders of Sex Development"	4886	4103	4063	0	1
C2751824	C3489793	"46, XY Disorders of Sex Development"	"46,XY Sex Reversal 3"	4103	4064	4063	0	1
C0011860	C0150312	"Diabetes Mellitus, Non-Insulin-Dependent"	Present	142114	600000	4011	1	2
C0002395	C1856170	Alzheimer's Disease	"ALZHEIMER DISEASE, SUSCEPTIBILITY TO"	139725	3977	3977	0	1
C0002395	C1834153	Alzheimer's Disease	"ALZHEIMER DISEASE, LATE-ONSET, SUSCEPTIBILITY TO"	139725	3977	3977	0	1
C0006142	C2239176	Malignant neoplasm of breast	Liver carcinoma	309961	130028	3972	1	3
C3714756	C4228353	Intellectual Disability	Cardiac malformations	97825	168650	3943	1	2
C0338451	C0751072	Frontotemporal dementia	Frontotemporal Lobar Degeneration	7582	4875	3869	0	1
C0021655	C1852091	Insulin Resistance	"INSULIN RESISTANCE, SUSCEPTIBILITY TO"	113459	3841	3841	0	1
C0017662	C0268743	"Glomerulonephritis, Membranoproliferative"	"Membranoproliferative Glomerulonephritis, Type II"	3840	3840	3840	0	1
C0028754	C3807409	Obesity	Low LDL cholesterol	294455	39387	3835	1	2
C0022735	C3489396	Klinefelter Syndrome	"Hypogonadism, Isolated Hypogonadotropic"	4232	17394	3786	0	3
C0022735	C0948896	Klinefelter Syndrome	Primary hypogonadism	4232	17394	3786	0	1
C0022735	C0033804	Klinefelter Syndrome	Pseudohermaphroditism	4232	42724	3780	1	3
C0000768	C0027051	Congenital Abnormality	Myocardial Infarction	591498	234627	3746	1	2
C0011195	C0270912	Dejerine-Sottas Disease	"Charcot-Marie-Tooth Disease, Type Ib"	6822	4570	3734	1	3
C0011195	C0270911	Dejerine-Sottas Disease	"Charcot-Marie-Tooth Disease, Type Ia"	6822	4570	3734	1	2
C0007959	C0011195	Charcot-Marie-Tooth Disease	Dejerine-Sottas Disease	4570	6822	3734	0	3
C0013720	C0268338	Ehlers-Danlos Syndrome	"Ehlers-Danlos Syndrome, Type IV"	3717	3717	3717	0	1
C0009402	C0376358	Colorectal Carcinoma	Malignant neoplasm of prostate	201452	120279	3715	1	3
C0020608	C3489529	Hypodontia	"Tooth Agenesis, Familial"	4163	3678	3664	0	1
C0152171	C2973725	Idiopathic pulmonary hypertension	Pulmonary arterial hypertension	4458	19359	3570	0	1
C0152171	C3203102	Idiopathic pulmonary hypertension	Idiopathic pulmonary arterial hypertension	4458	3570	3570	0	1
C2973725	C3203102	Pulmonary arterial hypertension	Idiopathic pulmonary arterial hypertension	19359	3570	3570	0	1
C0001206	C0032000	Acromegaly	Pituitary Adenoma	10079	36772	3570	0	3
C0004352	C0025362	Autistic Disorder	Mental Retardation	21522	112283	3520	0	3
C0009402	C0398794	Colorectal Carcinoma	Hypopigmentation-immunodeficiency disease	201452	600000	3496	1	2
C0011854	C0158981	"Diabetes Mellitus, Insulin-Dependent"	Neonatal diabetes mellitus	92179	12461	3493	0	2
C0002312	C4311016	alpha-Thalassemia	HEMOGLOBIN BUGINESE-X	7139	196933	3456	0	1
C0002395	C0338451	Alzheimer's Disease	Frontotemporal dementia	139725	7582	3442	0	3
