CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs	Level_of_similarity	Level_of_confidence	Name Relations	Paper Relations	Context Type	Concept Relations Type	Pct Common Relations	Num Available	Concept Relation	ID Relation	Num Relations
C0403397	C3279905	Steroid-resistant nephrotic syndrome	FOCAL SEGMENTAL GLOMERULOSCLEROSIS 6	1278	2125	210											
C0026705	C0086647	Mucopolysaccharidosis II	Mucopolysaccharidosis Type IIIA	1323	889	209											
C0023467	C3281125	"Leukemia, Myelocytic, Acute"	THROMBOCYTHEMIA 3	73162	3034	209											
C0007193	C0023976	"Cardiomyopathy, Dilated"	Long QT Syndrome	21868	9236	209											
C0020502	C1832615	Hyperparathyroidism	"HYPERPARATHYROIDISM, NEONATAL SEVERE"	29839	208	208											
C0001733	C1260903	Afibrinogenemia	Dysfibrinogenemia	2381	418	208											
C1834877	C1840528	HOLOPROSENCEPHALY 2	HOLOPROSENCEPHALY 4	691	496	208											
C0021655	C1846223	Insulin Resistance	Adrenal hypoplasia	113459	6817	208											
C0023264	C1850599	Leigh Disease	Leigh Syndrome due to Mitochondrial Complex IV Deficiency	2270	229	207											
C0020443	C0029456	Hypercholesterolemia	Osteoporosis	42411	81415	207											
C0020459	C0035309	Hyperinsulinism	Retinal Diseases	81647	134253	207											
C0034091	C2973725	Pulmonary Veno-Occlusive Disease	Pulmonary arterial hypertension	1070	19359	206											
C0011436	C0026760	Dentinogenesis Imperfecta	Multiple Epiphyseal Dysplasia	684	29049	206											
C0011436	C0038015	Dentinogenesis Imperfecta	Spondyloepiphyseal Dysplasia	684	29077	206											
C1136249	C1846174	"Mental Retardation, X-Linked"	"Mental Retardation, X-Linked 58"	14636	205	205											
C0007115	C3469522	Malignant neoplasm of thyroid	"BREAST CANCER, SUSCEPTIBILITY TO"	67377	12696	205											
C0035334	C2675496	Retinitis Pigmentosa	Retinitis Pigmentosa 46	10816	205	205											
C0003873	C0010674	Rheumatoid Arthritis	Cystic Fibrosis	140008	49380	205											
C0002736	C1862939	Amyotrophic Lateral Sclerosis	AMYOTROPHIC LATERAL SCLEROSIS 1	24280	204	204											
C0039373	C2874270	Tay-Sachs Disease	"GM2-GANGLIOSIDOSIS, ADULT"	1787	324	204											
C0684219	C2674766	Myokymia	Myokymia 1	641	203	203											
C0026760	C0410538	Multiple Epiphyseal Dysplasia	Pseudoachondroplasia	29049	237	203											
C0019621	C0242379	"Histiocytosis, Langerhans-Cell"	Malignant neoplasm of lung	10815	261819	203											
C0027708	C3714756	Nephroblastoma	Intellectual Disability	12539	97825	203											
C0398561	C1291611	Glucose phosphate isomerase deficiency	Deficiency of glucose-6-phosphate isomerase	250	203	203											
C0001403	C0011854	Addison Disease	"Diabetes Mellitus, Insulin-Dependent"	5088	92179	203											
C0024796	C4016056	Marfan Syndrome	"MARFAN SYNDROME, MILD"	7116	203	203											
C0019569	C2931739	Hirschsprung Disease	Hirschsprung disease type 3	4704	202	202											
C0004509	C0010674	Azoospermia	Cystic Fibrosis	6203	49380	202											
C0004775	C0268450	Bartter Disease	Gitelman Syndrome	1788	560	201											
C0242383	C0271093	Age related macular degeneration	Stargardt's disease	29421	268	201											
C0241889	C0270612	Family history	Leukoencephalopathies	117019	29481	201											
C0162429	C3280030	Malnutrition	IMMUNODEFICIENCY 21	138291	21257	201											
C0007194	C2677491	Hypertrophic Cardiomyopathy	"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 12"	18881	201	201											
C0011860	C0242379	"Diabetes Mellitus, Non-Insulin-Dependent"	Malignant neoplasm of lung	142114	261819	201											
C0150312	C0238462	Present	Medullary carcinoma of thyroid	600000	7190	200											
C0040034	C1861185	Thrombocytopenia	THROMBOCYTOPENIA 2	70120	200	200											
C0241889	C1866080	Family history	HIGH BONE MASS	117019	23483	200											
C0020438	C0020598	Hypercalciuria	Hypocalcemia	3967	14799	199											
C0085084	C1862939	Motor Neuron Disease	AMYOTROPHIC LATERAL SCLEROSIS 1	29823	204	199											
C0027051	C0030567	Myocardial Infarction	Parkinson Disease	234627	73702	199											
C1260899	C2675860	"Anemia, Diamond-Blackfan"	Diamond-Blackfan Anemia 4	870	200	199											
C0398794	C0452138	Hypopigmentation-immunodeficiency disease	"Sensorineural hearing loss, bilateral"	600000	3426	199											
C0014544	C0038644	Epilepsy	Sudden infant death syndrome	140074	11589	199											
C0238111	C0751122	Lennox-Gastaut syndrome	Infantile Severe Myoclonic Epilepsy	1285	4923	199											
C0266463	C1848201	Lissencephaly	Subcortical Band Heterotopia	1515	257	198											
C0162566	C0268323	Porphyria Cutanea Tarda	Familial porphyria cutanea tarda	2170	197	197											
C0006142	C2676676	Malignant neoplasm of breast	"BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 1"	309961	205	197											
C0162809	C1857720	Kallmann Syndrome	KALLMANN SYNDROME 4	855	197	197											
C0003850	C0036341	Arteriosclerosis	Schizophrenia	168968	134381	197											
C0031511	C0206734	Pheochromocytoma	Hemangioblastoma	21435	2166	197											
C0079301	C0268374	Junctional Epidermolysis Bullosa	Adult junctional epidermolysis bullosa	786	196	196											
C0014527	C0268374	Epidermolysis Bullosa	Adult junctional epidermolysis bullosa	5786	196	196											
C0079683	C0268374	Herlitz Disease	Adult junctional epidermolysis bullosa	1088	196	196											
C0086543	C0266544	Cataract	Microcornea	68182	381	195											
C0002768	C0020074	Congenital Pain Insensitivity	HSAN Type IV	653	2026	194											
C0023976	C2348199	Long QT Syndrome	Short Qt Syndrome	9236	381	194											
C0001080	C0410529	Achondroplasia	Hypochondroplasia	2697	271	193											
C0020676	C3553841	Hypothyroidism	HYPOGONADOTROPIC HYPOGONADISM 8 WITH OR WITHOUT ANOSMIA	42860	7784	193											
C0410529	C2674173	Hypochondroplasia	"Achondroplasia, Severe, With Developmental Delay And Acanthosis Nigricans"	271	2697	193											
C0409818	C3889979	"Chronic Infantile Neurological, Cutaneous, and Articular Syndrome"	Periodic Fever Syndrome	557	1064	193											
C0008780	C2678473	Ciliary Motility Disorders	"CILIARY DYSKINESIA, PRIMARY, 7"	2201	251	192											
C3550478	C4017071	HYPOGONADOTROPIC HYPOGONADISM 3 WITH OR WITHOUT ANOSMIA	HYPOGONADOTROPIC HYPOGONADISM 3 WITH ANOSMIA	10033	191	191											
C0019243	C1862892	"Angioedemas, Hereditary"	Hereditary Angioedema Type II	933	279	191											
C1856273	C4016928	"46,XY Gonadal Dysgenesis, Complete or Partial, DHH-Related"	"46,XY GONADAL DYSGENESIS, COMPLETE, DHH-RELATED"	420591	191	191											
C3275959	C3463824	"LEUKEMIA, ACUTE MYELOID, SUSCEPTIBILITY TO"	MYELODYSPLASTIC SYNDROME	1266	24379	191											
C0042974	C1264040	von Willebrand Disease	"von Willebrand Disease, Type 2"	11553	191	191											
C3554496	C4021133	LEFT VENTRICULAR NONCOMPACTION 7	Left ventricular noncompaction cardiomyopathy	218	1082	191											
C0546264	C1836448	Congenital Fiber Type Disproportion	Nemaline myopathy 1	1352	309	191											
C0085110	C0346429	Severe Combined Immunodeficiency	Multiple malignancy	7990	215327	191											
C0024796	C0149630	Marfan Syndrome	Bicuspid aortic valve	7116	2810	191											
C2675487	C3714756	"Mental Retardation, Autosomal Dominant 4"	Intellectual Disability	299	97825	190											
C0005586	C0020459	Bipolar Disorder	Hyperinsulinism	48102	81647	190											
C0026705	C0026709	Mucopolysaccharidosis II	Mucopolysaccharidosis VI	1323	681	189											
C0007134	C0238198	Renal Cell Carcinoma	Gastrointestinal Stromal Tumors	47304	8324	189											
C0035334	C4085590	Retinitis Pigmentosa	Cone-Rod Dystrophies	10816	389	189											
C0007959	C0026850	Charcot-Marie-Tooth Disease	Muscular Dystrophy	4570	33784	189											
C0006142	C3553943	Malignant neoplasm of breast	"T-CELL IMMUNODEFICIENCY, RECURRENT INFECTIONS, AND AUTOIMMUNITY WITH OR WITHOUT CARDIAC MALFORMATIONS"	309961	168719	189											
C0024305	C0272199	"Lymphoma, Non-Hodgkin"	Familial Hemophagocytic Lymphocytosis	104075	3231	189											
C0026850	C0270912	Muscular Dystrophy	"Charcot-Marie-Tooth Disease, Type Ib"	33784	4570	189											
C0024796	C0241889	Marfan Syndrome	Family history	7116	117019	188											
C0268237	C1850599	Cytochrome-c Oxidase Deficiency	Leigh Syndrome due to Mitochondrial Complex IV Deficiency	1395	229	188											
C0014544	C0023976	Epilepsy	Long QT Syndrome	140074	9236	188											
C1264040	C1282971	"von Willebrand Disease, Type 2"	"von Willebrand Disease, Type 2B"	191	444	187											
C1136249	C1845672	"Mental Retardation, X-Linked"	"Mental Retardation, X-Linked 63"	14636	187	187											
C0021364	C2751824	Male infertility	"46, XY Disorders of Sex Development"	45629	4103	187											
C0030567	C3148775	Parkinson Disease	"PARKINSON DISEASE, LATE-ONSET, SUSCEPTIBILITY TO"	73702	187	187											
C0038015	C0268338	Spondyloepiphyseal Dysplasia	"Ehlers-Danlos Syndrome, Type IV"	29077	3717	186											
C0013720	C0038015	Ehlers-Danlos Syndrome	Spondyloepiphyseal Dysplasia	3717	29077	186											
C1264040	C1282968	"von Willebrand Disease, Type 2"	"von Willebrand Disease, Type 2A"	191	438	186											
C1264040	C1282975	"von Willebrand Disease, Type 2"	"von Willebrand Disease, Type 2N"	191	319	186											
C1837156	C3845231	"DEBRISOQUINE, POOR METABOLISM OF"	Poor metabolizer	560	1006	186											
C0238462	C0346300	Medullary carcinoma of thyroid	Pituitary carcinoma	7190	35065	186											
C1264040	C1282974	"von Willebrand Disease, Type 2"	von Willebrand disease type 2M	191	312	186											
C0854723	C1858806	Retinal Dystrophies	CONE-ROD DYSTROPHY 3	9449	365	186											
C0021655	C0549463	Insulin Resistance	X-Linked Lymphoproliferative Disorder	113459	340694	186											
C0001125	C0034345	"Acidosis, Lactic"	Pyruvate Dehydrogenase Complex Deficiency Disease	8355	525	185											
C0751072	C0751706	Frontotemporal Lobar Degeneration	Primary Progressive Nonfluent Aphasia	4875	333	185											
C0007102	C0023467	Malignant tumor of colon	"Leukemia, Myelocytic, Acute"	85229	73162	185											
C0013720	C0026760	Ehlers-Danlos Syndrome	Multiple Epiphyseal Dysplasia	3717	29049	185											
C0026760	C0268338	Multiple Epiphyseal Dysplasia	"Ehlers-Danlos Syndrome, Type IV"	29049	3717	185											
C3275959	C3276787	"LEUKEMIA, ACUTE MYELOID, SUSCEPTIBILITY TO"	"MYELODYSPLASTIC SYNDROME, SUSCEPTIBILITY TO"	1266	21310	184											
C0007193	C0021051	"Cardiomyopathy, Dilated"	Immunologic Deficiency Syndromes	21868	308948	184											
C0021655	C2940786	Insulin Resistance	Thyroid Hormone Resistance Syndrome	113459	831	184											
C0030421	C1833930	Paraganglioma	"PHEOCHROMOCYTOMA, SOMATIC"	23102	236	183											
C1336839	C2239176	Type 1 Papillary Renal Cell Carcinoma	Liver carcinoma	2737	130028	182											
C0007134	C0027819	Renal Cell Carcinoma	Neuroblastoma	47304	39783	181											
C0030305	C0334357	Pancreatitis	Papillary cystic tumor	65210	3470	181											
C0150312	C2674950	Present	"LUNG CANCER, SUSCEPTIBILITY TO"	600000	5827	181											
C0023467	C2239176	"Leukemia, Myelocytic, Acute"	Liver carcinoma	73162	130028	181											
C0023976	C1563715	Long QT Syndrome	Andersen Syndrome	9236	1329	181											
C0026697	C3888317	Mucolipidoses	"Sialidosis, type 2"	1054	213	180											
C0270612	C0751587	Leukoencephalopathies	CADASIL Syndrome	29481	1227	180											
C0007097	C0085390	Carcinoma	Li-Fraumeni Syndrome	600000	1216	180											
C1136249	C1846038	"Mental Retardation, X-Linked"	"MENTAL RETARDATION, X-LINKED 72"	14636	180	180											
C0015519	C3203356	Factor X Deficiency	Factor II deficiency	560	6662	180											
C0020459	C0746102	Hyperinsulinism	Chronic lung disease	81647	127813	180											
C0021051	C0025958	Immunologic Deficiency Syndromes	Microcephaly	308948	9273	179											
C1527405	C1853286	Erythrocytosis	"Erythrocytosis, Familial, 3"	14085	179	179											
C0029456	C0085682	Osteoporosis	Hypophosphatemia	81415	5798	179											
C0027726	C1853124	Nephrotic Syndrome	"NEPHROTIC SYNDROME, TYPE 3"	21763	179	179											
C0028754	C1955741	Obesity	Glucocorticoid deficiency	294455	4941	178											
C0079541	C3280215	Holoprosencephaly	HOLOPROSENCEPHALY 11	2050	178	178											
C0020459	C0030305	Hyperinsulinism	Pancreatitis	81647	65210	178											
C0020074	C3553943	HSAN Type IV	"T-CELL IMMUNODEFICIENCY, RECURRENT INFECTIONS, AND AUTOIMMUNITY WITH OR WITHOUT CARDIAC MALFORMATIONS"	2026	168719	178											
C1527405	C4017522	Erythrocytosis	BETA-SHOWA-YAKUSHIJI THALASSEMIA	14085	26719	178											
C0265252	C3714756	Coffin-Lowry syndrome	Intellectual Disability	226	97825	178											
C0006142	C0238462	Malignant neoplasm of breast	Medullary carcinoma of thyroid	309961	7190	177											
C0029422	C0410529	Osteochondrodysplasias	Hypochondroplasia	28883	271	177											
C0036391	C0410529	Schwartz-Jampel Syndrome	Hypochondroplasia	28949	271	177											
C0007194	C3151356	Hypertrophic Cardiomyopathy	"MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 2B, REMITTING, WITH OR WITHOUT MENTAL RETARDATION"	18881	112283	177											
C0015503	C0020640	Factor VII Deficiency	Inherited Factor II deficiency	1829	1411	176											
C0040034	C1839163	Thrombocytopenia	THROMBOCYTOPENIA 1	70120	176	176											
C1857720	C3552343	KALLMANN SYNDROME 4	HYPOGONADOTROPIC HYPOGONADISM 4 WITH OR WITHOUT ANOSMIA	197	9361	176											
C0018099	C0020459	Gout	Hyperinsulinism	17120	81647	175											
C0410189	C2750035	"Muscular Dystrophy, Emery-Dreifuss"	Emery-Dreifuss Muscular Dystrophy 3	721	175	175											
C0020676	C2940786	Hypothyroidism	Thyroid Hormone Resistance Syndrome	42860	831	175											
C0009402	C0265325	Colorectal Carcinoma	Turcot syndrome	201452	201	175											
C0006142	C0026769	Malignant neoplasm of breast	Multiple Sclerosis	309961	80883	175											
C0023264	C0268237	Leigh Disease	Cytochrome-c Oxidase Deficiency	2270	1395	174											
C0036161	C1849321	Sandhoff Disease	"Sandhoff Disease, Juvenile Type"	711	174	174											
C0338508	C3276549	"Optic Atrophy, Autosomal Dominant"	"OPTIC ATROPHY WITH OR WITHOUT DEAFNESS, OPHTHALMOPLEGIA, MYOPATHY, ATAXIA, AND NEUROPATHY"	541	2007	174											
C0410190	C2750035	Autosomal Dominant Emery-Dreifuss Muscular Dystrophy	Emery-Dreifuss Muscular Dystrophy 3	719	175	174											
C0002871	C0268435	Anemia	"Renal Tubular Acidosis, Type II"	212236	4034	174											
C0028326	C0175704	Noonan Syndrome	LEOPARD Syndrome	2113	420	173											
C0338451	C0751706	Frontotemporal dementia	Primary Progressive Nonfluent Aphasia	7582	333	173											
C0221013	C1833856	"Mastocytosis, Systemic"	MASTOCYTOSIS WITH ASSOCIATED HEMATOLOGIC DISORDER	2170	245	173											
C1318518	C3179239	Infantile malignant osteopetrosis	Osteopetrosis Autosomal Dominant Type 2	173	3269	173											
C0027746	C3496228	Nerve Degeneration	"Leukodystrophy, Dysmyelinating, And Spastic Paraparesis With Or Without Dystonia"	37741	18391	172											
C0079744	C2239176	Diffuse Large B-Cell Lymphoma	Liver carcinoma	24275	130028	172											
C0162809	C2675188	Kallmann Syndrome	Kallmann Syndrome 6	855	172	172											
C1866504	C1955934	Photosensitive Trichothiodystrophy	Trichothiodystrophy Syndromes	188	171	171											
C1866504	C3495483	Photosensitive Trichothiodystrophy	Amish Brittle Hair Brain Syndrome	188	171	171											
C1955934	C3495483	Trichothiodystrophy Syndromes	Amish Brittle Hair Brain Syndrome	171	171	171											
C0007194	C2750472	Hypertrophic Cardiomyopathy	"Cardiomyopathy, Familial Hypertrophic, 13"	18881	171	171											
C0265344	C0271695	Donohue Syndrome	Rabson-Mendenhall Syndrome	171	214	171											
C4016104	C4016106	HYPOGONADOTROPIC HYPOGONADISM 2 WITH ANOSMIA	HYPOGONADOTROPIC HYPOGONADISM 2 WITHOUT ANOSMIA	171	171	171											
C0035334	C1858806	Retinitis Pigmentosa	CONE-ROD DYSTROPHY 3	10816	365	171											
C1563719	C4016502	Kallmann Syndrome 1	HYPOGONADOTROPIC HYPOGONADISM 1 WITH ANOSMIA	855	229	170											
C0038868	C0236642	Progressive supranuclear palsy	Pick Disease of the Brain	4011	1447	170											
C0162809	C4016502	Kallmann Syndrome	HYPOGONADOTROPIC HYPOGONADISM 1 WITH ANOSMIA	855	229	170											
C0007194	C2750467	Hypertrophic Cardiomyopathy	"Cardiomyopathy, Familial Hypertrophic, 14"	18881	170	170											
C0006142	C0948303	Malignant neoplasm of breast	Carcinoma of peritoneum	309961	3894	170											
C0007194	C0038644	Hypertrophic Cardiomyopathy	Sudden infant death syndrome	18881	11589	170											
C0007194	C0018817	Hypertrophic Cardiomyopathy	Atrial Septal Defects	18881	17477	170											
C0002312	C0271980	alpha-Thalassemia	beta^0^ Thalassemia	7139	529	169											
C1833970	C1860985	"COLORECTAL CANCER, SOMATIC"	"GASTRIC CANCER, SOMATIC"	2214	677	169											
C1867983	C3280970	"PORENCEPHALY, FAMILIAL"	PORENCEPHALY 2	544	169	169											
C0008311	C0010674	Cholangitis	Cystic Fibrosis	16810	49380	169											
C0270851	C1839710	Benign neonatal epilepsy	Infantile seizures	570	3252	168											
C0020676	C0231303	Hypothyroidism	Distress	42860	115418	168											
C0220658	C3151356	Pfeiffer Syndrome	"MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 2B, REMITTING, WITH OR WITHOUT MENTAL RETARDATION"	2199	112283	168											
C0010324	C0268306	"Crigler Najjar syndrome, type 1"	Unconjugated hyperbilirubinemia	578	1081	168											
C0025202	C0030567	melanoma	Parkinson Disease	122636	73702	168											
C0007115	C0021655	Malignant neoplasm of thyroid	Insulin Resistance	67377	113459	167											
C0086438	C3542922	Hypogammaglobulinemia	"IMMUNODEFICIENCY, COMMON VARIABLE, 7"	7954	546	167											
C2749020	C4228353	"Mental Retardation, X-Linked, Znf711-Related"	Cardiac malformations	14636	168650	167											
C1136249	C3553943	"Mental Retardation, X-Linked"	"T-CELL IMMUNODEFICIENCY, RECURRENT INFECTIONS, AND AUTOIMMUNITY WITH OR WITHOUT CARDIAC MALFORMATIONS"	14636	168719	167											
C0007194	C0026850	Hypertrophic Cardiomyopathy	Muscular Dystrophy	18881	33784	167											
C0007194	C2750459	Hypertrophic Cardiomyopathy	"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 15"	18881	167	167											
C0342482	C1846223	X-linked adrenal hypoplasia congenita	Adrenal hypoplasia	1225	6817	166											
C0029411	C3280800	"Osteoarthropathy, Primary Hypertrophic"	"HYPERTROPHIC OSTEOARTHROPATHY, PRIMARY, AUTOSOMAL RECESSIVE, 2"	820	166	166											
C0029124	C0393807	Optic Atrophy	Hereditary motor and sensory neuropathy with optic atrophy	9608	166	166											
C0011860	C0020550	"Diabetes Mellitus, Non-Insulin-Dependent"	Hyperthyroidism	142114	47384	166											
C0015503	C0015523	Factor VII Deficiency	Factor XI Deficiency	1829	1316	165											
C0751336	C3279722	Distal Muscular Dystrophies	"MYOPATHY, DISTAL, 4"	1008	279	165											
C0011053	C1863752	Deafness	Enlarged Vestibular Aqueduct	39032	321	164											
C0008533	C0015503	Hemophilia B	Factor VII Deficiency	4899	1829	163											
C0342384	C3552574	Idiopathic hypogonadotropic hypogonadism	HYPOGONADOTROPIC HYPOGONADISM 6 WITH OR WITHOUT ANOSMIA	337	8981	163											
C0265261	C1854678	Multiple pterygium syndrome	"MULTIPLE PTERYGIUM SYNDROME, LETHAL TYPE"	163	163	163											
C0010273	C0036391	Craniofacial Dysostosis	Schwartz-Jampel Syndrome	5697	28949	163											
C0021359	C0376358	Infertility	Malignant neoplasm of prostate	89090	120279	163											
C0014544	C0270862	Epilepsy	Hemiplegic migraine	140074	999	163											
C0004352	C0040517	Autistic Disorder	Gilles de la Tourette syndrome	21522	4901	163											
C0004352	C0041341	Autistic Disorder	Tuberous Sclerosis	21522	9017	163											
C0020626	C0342345	Hypoparathyroidism	Hypoparathyroidism - autosomal dominant	8473	162	162											
C0155016	C4016499	"Color Blindness, Red-Green"	"COLORBLINDNESS, DEUTAN"	4243	163	162											
C0010273	C0029422	Craniofacial Dysostosis	Osteochondrodysplasias	5697	28883	162											
C1836032	C3150354	Immunoglobulin a deficiency 2	"IMMUNODEFICIENCY, COMMON VARIABLE, 2"	1596	1186	162											
C0009447	C1836032	Common Variable Immunodeficiency	Immunoglobulin a deficiency 2	3249	1596	162											
C0007194	C0043202	Hypertrophic Cardiomyopathy	Wolff-Parkinson-White Syndrome	18881	6117	162											
C0011195	C4228353	Dejerine-Sottas Disease	Cardiac malformations	6822	168650	161											
C0002736	C0037772	Amyotrophic Lateral Sclerosis	Spastic Paraplegia	24280	21054	161											
C0007194	C0340420	Hypertrophic Cardiomyopathy	Cardiac glycogenosis	18881	1040	161											
C0015519	C0020640	Factor X Deficiency	Inherited Factor II deficiency	560	1411	160											
C0008372	C0010674	Intrahepatic Cholestasis	Cystic Fibrosis	15090	49380	160											
C0021364	C0376358	Male infertility	Malignant neoplasm of prostate	45629	120279	160											
C0019202	C0022716	Hepatolenticular Degeneration	Menkes Kinky Hair Syndrome	5625	1002	159											
C0001973	C2751719	"Alcoholic Intoxication, Chronic"	"ALCOHOL DEPENDENCE, PROTECTION AGAINST"	84597	178	159											
C0242379	C2973725	Malignant neoplasm of lung	Pulmonary arterial hypertension	261819	19359	159											
C0002874	C0006142	Aplastic Anemia	Malignant neoplasm of breast	18869	309961	159											
C0524528	C2677504	Pervasive Development Disorder	"AUTISM, SUSCEPTIBILITY TO, 15"	30510	214	158											
C0005283	C3888302	beta Thalassemia	HEMOGLOBIN S PHENOTYPE	14284	520	158											
C0018784	C1847800	Sensorineural Hearing Loss	Waardenburg Syndrome Type 1	29379	1033	158											
C0018784	C3266898	Sensorineural Hearing Loss	Waardenburg Syndrome	29379	1033	158											
C0028326	C3714756	Noonan Syndrome	Intellectual Disability	2113	97825	158											
C0686353	C2931687	"Muscular Dystrophies, Limb-Girdle"	Dysferlinopathy	1891	254	157											
C0022521	C2676235	Kartagener Syndrome	"CILIARY DYSKINESIA, PRIMARY, 9"	1386	257	157											
C0030421	C0238198	Paraganglioma	Gastrointestinal Stromal Tumors	23102	8324	157											
C0021655	C0271690	Insulin Resistance	Type 2 diabetes mellitus with acanthosis nigricans	113459	256	156											
C0020557	C0023817	Hypertriglyceridemia	Hyperlipoproteinemia Type I	14669	528	156											
C0029410	C3887876	Osteoarthritis of hip	OSTEOARTHRITIS SUSCEPTIBILITY 1	16836	565	156											
C0004135	C0023434	Ataxia Telangiectasia	Chronic Lymphocytic Leukemia	9430	23509	156											
C0023467	C4016397	"Leukemia, Myelocytic, Acute"	"CHRONIC MYELOID LEUKEMIA, RESISTANT TO IMATINIB"	73162	1436	156											
C0553720	C2674218	Spherocytosis	"SPHEROCYTOSIS, TYPE 1"	2848	156	156											
C0026918	C0085110	Mycobacterium Infections	Severe Combined Immunodeficiency	225629	7990	156											
C0020630	C0268412	Hypophosphatasia	Infantile hypophosphatasia	1057	155	155											
C0027708	C0027726	Nephroblastoma	Nephrotic Syndrome	12539	21763	155											
C2675188	C3552574	Kallmann Syndrome 6	HYPOGONADOTROPIC HYPOGONADISM 6 WITH OR WITHOUT ANOSMIA	172	8981	155											
C0242343	C3489787	Panhypopituitarism	"Pituitary Hormone Deficiency, Combined, 3"	1599	603	155											
C0241889	C1260873	Family history	Aortic valve disorder	117019	21735	155											
C0265219	C0431375	Miller Dieker syndrome	Classical Lissencephaly	334	223	155											
C0006142	C0238198	Malignant neoplasm of breast	Gastrointestinal Stromal Tumors	309961	8324	155											
C0158646	C2677434	Cleft palate with cleft lip	OROFACIAL CLEFT 11	15183	187	155											
C0021655	C1720861	Insulin Resistance	"Familial Partial Lipodystrophy, Type 3"	113459	329	155											
C0032461	C4017522	Polycythemia	BETA-SHOWA-YAKUSHIJI THALASSEMIA	14175	26719	155											
C0028326	C0587248	Noonan Syndrome	Costello syndrome	2113	665	155											
C0018799	C4083050	Heart Diseases	Tooth agenesis	600000	12777	155											
C0011847	C0747102	Diabetes	Ovarian failure	600000	7254	155											
C0010054	C0030567	Coronary Arteriosclerosis	Parkinson Disease	165082	73702	155											
C0023374	C0740394	Lesch-Nyhan Syndrome	Hyperuricemia	1369	7921	154											
C1274215	C3888093	Autosomal recessive ichthyosis	"ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 2"	638	154	154											
C0018203	C1840264	Chronic granulomatous disease	IMMUNE SUPPRESSION	7233	124403	154											
C0751778	C0751785	"Myoclonic Epilepsies, Progressive"	Unverricht-Lundborg Syndrome	1475	178	154											
C0000768	C1275808	Congenital Abnormality	Congenital central hypoventilation	591498	581	154											
C0011860	C1833056	"Diabetes Mellitus, Non-Insulin-Dependent"	"Obesity, early-onset"	142114	1101	154											
C0917713	C3714756	Becker Muscular Dystrophy	Intellectual Disability	11109	97825	154											
C0686353	C1869123	"Muscular Dystrophies, Limb-Girdle"	Limb-girdle muscular dystrophy type 2A	1891	191	153											
C0035334	C0241889	Retinitis Pigmentosa	Family history	10816	117019	153											
