	Original Row	CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs	Level_of_similarity	Level_of_confidence	Percent Common Papers	Name Relations	Paper Relations	Concept Relations Type
138	1876	C0005129	C4087502	Bernard-Soulier Syndrome	Giant platelet disorder	696	591	133			22	0	22	['N/A', '10']
139	3656	C0162569	C0268323	Hepatoerythropoietic Porphyria	Familial porphyria cutanea tarda	259	197	29			14	1	14	[u'RO', 6]
140	7331	C0524528	C2677682	Pervasive Development Disorder	Rett Syndrome, Zappella Variant	30510	28	4			14	0	14	['N/A', '10']
141	7201	C0029422	C2677099	Osteochondrodysplasias	CROUZON SYNDROME WITH ACANTHOSIS NIGRICANS	28883	24	4			16	0	16	['N/A', '10']
142	6760	C0339526	C1848634	Autosomal recessive retinitis pigmentosa	USHER SYNDROME, TYPE IIA	1150	26	5			19	0	19	[u'RO', 6]
143	3780	C0034341	C1136249	Pyruvate Carboxylase Deficiency Disease	Mental Retardation, X-Linked	174	14636	27			15	0	15	[u'RO', 6]
144	6851	C0339510	C2674009	Vitelliform Macular Dystrophy	Microcornea, Rod-Cone Dystrophy, Cataract, And Posterior Staphyloma	497	37	5			13	1	13	['N/A', '10']
145	5776	C0024796	C1861456	Marfan Syndrome	Stiff Skin Syndrome	7116	55	8			14	0	14	['N/A', '10']
146	601	C0031511	C0238462	Pheochromocytoma	Medullary carcinoma of thyroid	21435	7190	1033			14	0	14	[u'RO', 6]
147	262	C0011854	C0158981	Diabetes Mellitus, Insulin-Dependent	Neonatal diabetes mellitus	92179	12461	3493			28	2	28	[u'RB2', 5]
148	605	C0024796	C0162872	Marfan Syndrome	Aortic Aneurysm, Thoracic	7116	19227	1020			14	0	14	[u'RO', 6]
149	8676	C0005684	C2674643	Malignant neoplasm of urinary bladder	KERATOSIS, SEBORRHEIC, SOMATIC	59248	15	2			13	0	13	['N/A', '10']
150	3256	C0220989	C1720861	Acquired partial lipodystrophy	Familial Partial Lipodystrophy, Type 3	168	329	38			22	2	22	['N/A', '10']
151	6121	C1283400	C4017544	Butyrylcholinesterase deficiency	CHE*70G PHENOTYPE	54	491394	7			12	0	12	['N/A', '10']
152	6229	C0033847	C3276161	Pseudoxanthoma Elasticum	ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 2	1837	39	6			15	0	15	['N/A', '10']
153	1233	C0393570	C0751072	Corticobasal degeneration	Frontotemporal Lobar Degeneration	1556	4875	311			19	1	19	[u'RO', 6]
154	10547	C0342790	C1829703	Carnitine palmitoyl transferase 2 deficiency	Carnitine palmitoyl transferase 1A deficiency	38	8	1			12	3	12	[u'RO', 6]
155	2573	C0027726	C0950121	Nephrotic Syndrome	Denys-Drash Syndrome	21763	294	69			23	0	23	[u'RO', 6]
156	1069	C0018965	C1567742	Hematuria	Alport Syndrome, X-Linked	24388	2064	393			19	0	19	[u'RO', 6]
157	4550	C0020640	C0272317	Inherited Factor II deficiency	Hereditary factor II deficiency disease	1411	80	16			20	2	20	['N/A', '10']
158	7720	C0014544	C3554078	Epilepsy	BRANCHED-CHAIN KETO ACID DEHYDROGENASE KINASE DEFICIENCY	140074	27	3			11	0	11	['N/A', '10']
159	6989	C0268358	C0268363	Osteogenesis imperfecta, dominant perinatal lethal	Osteogenesis imperfecta type IV	22	369	4			18	2	18	[u'RO', 6]
160	2683	C0035334	C0271093	Retinitis Pigmentosa	Stargardt's disease	10816	268	62			23	0	23	[u'RO', 6]
161	4072	C0000768	C0432217	Congenital Abnormality	Wolcott-Rallison syndrome	591498	91	22			24	0	24	['N/A', '10']
162	6715	C1449563	C1832370	Cardiomyopathy, Familial Idiopathic	MYOPATHY, MYOFIBRILLAR, DESMIN-RELATED	21940	23	5			21	0	21	[u'RO', 6]
163	4918	C1321551	C3553943	Shprintzen-Goldberg syndrome	T-CELL IMMUNODEFICIENCY, RECURRENT INFECTIONS, AND AUTOIMMUNITY WITH OR WITHOUT CARDIAC MALFORMATIONS	59	168719	13			22	0	22	['N/A', '10']
164	1409	C0017551	C0268306	Gilbert Disease	Unconjugated hyperbilirubinemia	4873	1081	239			22	0	22	['N/A', '10']
165	36	C0011860	C0021655	Diabetes Mellitus, Non-Insulin-Dependent	Insulin Resistance	142114	113459	24543			21	1	21	[u'RO', 6]
166	3090	C0410190	C1720860	Autosomal Dominant Emery-Dreifuss Muscular Dystrophy	Familial Partial Lipodystrophy, Type 2	719	329	43			13	0	13	[u'RB2', 5]
167	917	C0007194	C0007196	Hypertrophic Cardiomyopathy	Restrictive cardiomyopathy	18881	1984	539			27	1	27	[u'RO', 6]
168	3284	C0149841	C3489789	Benign recurrent intrahepatic cholestasis	Cholestasis, Progressive Familial Intrahepatic, 2	242	302	38			15	2	15	[u'RO', 6]
169	5352	C0342776	C1838979	Nicotinamide adenine dinucleotide coenzyme Q reductase deficiency	MITOCHONDRIAL COMPLEX I DEFICIENCY	77	135	10			12	0	12	['N/A', '10']
170	764	C0029925	C3469523	Ovarian Carcinoma	OVARIAN CANCER, SUSCEPTIBILITY TO	34444	4371	742			16	1	16	[u'RO', 6]
171	772	C0006142	C3469524	Malignant neoplasm of breast	PROSTATE CANCER, SUSCEPTIBILITY TO	309961	3698	738			19	0	19	['N/A', '10']
172	11303	C0033300	C1837756	Progeria	MANDIBULOACRAL DYSPLASIA WITH TYPE B LIPODYSTROPHY	1917	5	1			20	0	20	['N/A', '10']
173	3609	C0014544	C1720416	Epilepsy	Episodic ataxia type 2	140074	235	30			12	0	12	[u'RO', 6]
174	6039	C3150933	C3838758	HYPERALDOSTERONISM, FAMILIAL, TYPE III	Familial hyperaldosteronism type 3	32	48	7			21	2	21	['N/A', '10']
175	6670	C1865643	C3550019	Cholestasis, progressive familial intrahepatic 3	CHOLESTASIS, INTRAHEPATIC, OF PREGNANCY, 3	36	381	5			13	3	13	[u'RO', 6]
176	861	C0019562	C0030421	Von Hippel-Lindau Syndrome	Paraganglioma	4082	23102	612			14	0	14	[u'RO', 6]
177	1720	C1836032	C3150354	Immunoglobulin a deficiency 2	IMMUNODEFICIENCY, COMMON VARIABLE, 2	1596	1186	162			13	1	13	[u'RO', 6]
178	4679	C4016132	C4016275	HYPOGONADOTROPIC HYPOGONADISM 7 WITHOUT ANOSMIA	HYPOGONADOTROPIC HYPOGONADISM 11 WITHOUT ANOSMIA	73	57	15			26	3	26	['N/A', '10']
179	3429	C2674636	C4016293	GASTROINTESTINAL STROMAL TUMOR, FAMILIAL	GASTROINTESTINAL STROMAL TUMOR, SOMATIC	348	126	34			26	3	26	['N/A', '10']
180	2061	C0019569	C1275808	Hirschsprung Disease	Congenital central hypoventilation	4704	581	113			19	0	19	[u'RO', 6]
181	1706	C0015503	C0015523	Factor VII Deficiency	Factor XI Deficiency	1829	1316	165			12	1	12	[u'RO', 6]
182	5353	C0342637	C1832615	Hypocalciuric hypercalcemia, familial, type 1	HYPERPARATHYROIDISM, NEONATAL SEVERE	59	208	10			16	0	16	[u'RO', 6]
